sequences,seq_str,occur,freq
"[3, 4, 2, 9, 4, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0]","0-2, 0-3, 0-1, 1-4, 0-3, 0-1, 0-2",502,0.502
"[3, 4, 2, 4, 9, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0]","0-2, 0-3, 0-1, 0-3, 1-4, 0-1, 0-2",312,0.312
"[3, 4, 2, 9, 4, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0]","0-2, 0-3, 0-1, 1-4, 0-3, 0-2, 0-1",101,0.101
"[3, 4, 2, 4, 9, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0]","0-2, 0-3, 0-1, 0-3, 1-4, 0-2, 0-1",71,0.071
"[3, 4, 2, 4, 3, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0]","0-2, 0-3, 0-1, 0-3, 0-2, 1-4, 0-1",10,0.01
"[2, 4, 2, 4, 9, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0]","0-1, 0-3, 0-1, 0-3, 1-4, 0-1, 0-2",1,0.001
"[3, 9, 2, 9, 4, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0]","0-2, 1-4, 0-1, 1-4, 0-3, 0-2, 0-1",1,0.001
"[2, 4, 2, 9, 4, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0]","0-1, 0-3, 0-1, 1-4, 0-3, 0-1, 0-2",1,0.001
"[3, 4, 2, 9, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0-2, 0-3, 0-1, 1-4, 0-3",1,0.001
