sequences,seq_str,occur,freq
"[17, 2, 12, 7, 12, 7, 12, 2, 7, 12, 17, 0, 0, 0, 0]","3-4, 0-1, 2-3, 1-2, 2-3, 1-2, 2-3, 0-1, 1-2, 2-3, 3-4",313,0.313
"[17, 2, 12, 7, 12, 7, 12, 2, 7, 17, 12, 0, 0, 0, 0]","3-4, 0-1, 2-3, 1-2, 2-3, 1-2, 2-3, 0-1, 1-2, 3-4, 2-3",251,0.251
"[17, 2, 12, 7, 12, 7, 12, 2, 17, 7, 12, 0, 0, 0, 0]","3-4, 0-1, 2-3, 1-2, 2-3, 1-2, 2-3, 0-1, 3-4, 1-2, 2-3",93,0.093
"[2, 17, 12, 7, 12, 7, 12, 2, 17, 7, 12, 0, 0, 0, 0]","0-1, 3-4, 2-3, 1-2, 2-3, 1-2, 2-3, 0-1, 3-4, 1-2, 2-3",83,0.083
"[2, 17, 12, 7, 12, 7, 12, 2, 7, 17, 12, 0, 0, 0, 0]","0-1, 3-4, 2-3, 1-2, 2-3, 1-2, 2-3, 0-1, 1-2, 3-4, 2-3",81,0.081
"[2, 17, 12, 7, 12, 7, 12, 2, 7, 12, 17, 0, 0, 0, 0]","0-1, 3-4, 2-3, 1-2, 2-3, 1-2, 2-3, 0-1, 1-2, 2-3, 3-4",65,0.065
"[17, 17, 12, 7, 12, 7, 12, 2, 7, 17, 12, 0, 0, 0, 0]","3-4, 3-4, 2-3, 1-2, 2-3, 1-2, 2-3, 0-1, 1-2, 3-4, 2-3",30,0.03
"[17, 17, 12, 7, 12, 7, 12, 2, 7, 12, 17, 0, 0, 0, 0]","3-4, 3-4, 2-3, 1-2, 2-3, 1-2, 2-3, 0-1, 1-2, 2-3, 3-4",17,0.017
"[17, 17, 12, 7, 12, 7, 12, 2, 17, 7, 12, 0, 0, 0, 0]","3-4, 3-4, 2-3, 1-2, 2-3, 1-2, 2-3, 0-1, 3-4, 1-2, 2-3",16,0.016
"[2, 2, 12, 7, 12, 7, 12, 2, 7, 12, 17, 0, 0, 0, 0]","0-1, 0-1, 2-3, 1-2, 2-3, 1-2, 2-3, 0-1, 1-2, 2-3, 3-4",12,0.012
"[2, 2, 12, 7, 12, 7, 12, 2, 7, 17, 12, 0, 0, 0, 0]","0-1, 0-1, 2-3, 1-2, 2-3, 1-2, 2-3, 0-1, 1-2, 3-4, 2-3",5,0.005
"[17, 17, 12, 7, 12, 7, 2, 12, 7, 12, 17, 0, 0, 0, 0]","3-4, 3-4, 2-3, 1-2, 2-3, 1-2, 0-1, 2-3, 1-2, 2-3, 3-4",4,0.004
"[2, 17, 12, 12, 7, 7, 12, 2, 7, 12, 17, 0, 0, 0, 0]","0-1, 3-4, 2-3, 2-3, 1-2, 1-2, 2-3, 0-1, 1-2, 2-3, 3-4",4,0.004
"[2, 2, 12, 7, 12, 7, 12, 2, 17, 7, 12, 0, 0, 0, 0]","0-1, 0-1, 2-3, 1-2, 2-3, 1-2, 2-3, 0-1, 3-4, 1-2, 2-3",3,0.003
"[2, 17, 12, 7, 12, 7, 2, 12, 7, 12, 17, 0, 0, 0, 0]","0-1, 3-4, 2-3, 1-2, 2-3, 1-2, 0-1, 2-3, 1-2, 2-3, 3-4",3,0.003
"[17, 2, 12, 7, 12, 7, 12, 17, 2, 7, 12, 0, 0, 0, 0]","3-4, 0-1, 2-3, 1-2, 2-3, 1-2, 2-3, 3-4, 0-1, 1-2, 2-3",3,0.003
"[17, 12, 2, 12, 7, 12, 7, 2, 7, 12, 17, 0, 0, 0, 0]","3-4, 2-3, 0-1, 2-3, 1-2, 2-3, 1-2, 0-1, 1-2, 2-3, 3-4",3,0.003
"[17, 12, 12, 7, 12, 7, 12, 2, 7, 12, 17, 0, 0, 0, 0]","3-4, 2-3, 2-3, 1-2, 2-3, 1-2, 2-3, 0-1, 1-2, 2-3, 3-4",2,0.002
"[17, 12, 7, 12, 12, 7, 12, 2, 7, 12, 17, 0, 0, 0, 0]","3-4, 2-3, 1-2, 2-3, 2-3, 1-2, 2-3, 0-1, 1-2, 2-3, 3-4",2,0.002
"[17, 12, 12, 7, 12, 7, 12, 2, 7, 17, 12, 0, 0, 0, 0]","3-4, 2-3, 2-3, 1-2, 2-3, 1-2, 2-3, 0-1, 1-2, 3-4, 2-3",1,0.001
"[2, 17, 2, 12, 7, 12, 7, 2, 7, 12, 17, 0, 0, 0, 0]","0-1, 3-4, 0-1, 2-3, 1-2, 2-3, 1-2, 0-1, 1-2, 2-3, 3-4",1,0.001
"[17, 17, 12, 7, 12, 7, 12, 2, 17, 2, 17, 0, 0, 0, 0]","3-4, 3-4, 2-3, 1-2, 2-3, 1-2, 2-3, 0-1, 3-4, 0-1, 3-4",1,0.001
"[17, 12, 2, 2, 12, 7, 12, 2, 7, 12, 17, 0, 0, 0, 0]","3-4, 2-3, 0-1, 0-1, 2-3, 1-2, 2-3, 0-1, 1-2, 2-3, 3-4",1,0.001
"[17, 17, 7, 12, 7, 12, 7, 2, 7, 12, 17, 0, 0, 0, 0]","3-4, 3-4, 1-2, 2-3, 1-2, 2-3, 1-2, 0-1, 1-2, 2-3, 3-4",1,0.001
"[17, 12, 2, 7, 12, 7, 12, 17, 2, 7, 12, 0, 0, 0, 0]","3-4, 2-3, 0-1, 1-2, 2-3, 1-2, 2-3, 3-4, 0-1, 1-2, 2-3",1,0.001
"[2, 17, 7, 12, 12, 7, 12, 2, 7, 12, 17, 0, 0, 0, 0]","0-1, 3-4, 1-2, 2-3, 2-3, 1-2, 2-3, 0-1, 1-2, 2-3, 3-4",1,0.001
"[2, 17, 12, 7, 12, 7, 12, 2, 17, 2, 7, 0, 0, 0, 0]","0-1, 3-4, 2-3, 1-2, 2-3, 1-2, 2-3, 0-1, 3-4, 0-1, 1-2",1,0.001
"[17, 17, 12, 12, 7, 7, 12, 2, 7, 17, 12, 0, 0, 0, 0]","3-4, 3-4, 2-3, 2-3, 1-2, 1-2, 2-3, 0-1, 1-2, 3-4, 2-3",1,0.001
"[17, 12, 2, 17, 12, 7, 12, 2, 7, 12, 17, 0, 0, 0, 0]","3-4, 2-3, 0-1, 3-4, 2-3, 1-2, 2-3, 0-1, 1-2, 2-3, 3-4",1,0.001
