Label,Fidelity,Actions,Verbose Sequence
GHZ,0.9999999999995178,"[17.0, 2.0, 12.0, 11.0, 12.0, 11.0, 12.0, 2.0, 11.0, 21.0, 12.0]","3-4, 0-1, 2-3, 2-1, 2-3, 2-1, 2-3, 0-1, 2-1, 4-3, 2-3"
GHZ + noise,0.41478591002397747,"[17.0, 2.0, 12.0, 11.0, 12.0, 11.0, 12.0, 2.0, 11.0, 21.0, 12.0]","3-4, 0-1, 2-3, 2-1, 2-3, 2-1, 2-3, 0-1, 2-1, 4-3, 2-3"
GHZ + noise,1.0000259983150366,"[17.0, 2.0, 12.0, 11.0, 12.0, 11.0, 12.0, 2.0, 11.0, 21.0, 12.0]","3-4, 0-1, 2-3, 2-1, 2-3, 2-1, 2-3, 0-1, 2-1, 4-3, 2-3"
GHZ + noise,1.0000107702784706,"[17.0, 2.0, 12.0, 11.0, 12.0, 11.0, 12.0, 2.0, 11.0, 21.0, 12.0]","3-4, 0-1, 2-3, 2-1, 2-3, 2-1, 2-3, 0-1, 2-1, 4-3, 2-3"
GHZ + noise,0.9999801833359843,"[17.0, 2.0, 12.0, 11.0, 12.0, 11.0, 12.0, 2.0, 11.0, 21.0, 12.0]","3-4, 0-1, 2-3, 2-1, 2-3, 2-1, 2-3, 0-1, 2-1, 4-3, 2-3"
GHZ + noise,1.000020365973762,"[17.0, 2.0, 12.0, 11.0, 12.0, 11.0, 12.0, 2.0, 11.0, 21.0, 12.0]","3-4, 0-1, 2-3, 2-1, 2-3, 2-1, 2-3, 0-1, 2-1, 4-3, 2-3"
W,0.9999999999058471,"[17.0, 2.0, 12.0, 11.0, 12.0, 11.0, 12.0, 2.0, 21.0, 11.0, 12.0]","3-4, 0-1, 2-3, 2-1, 2-3, 2-1, 2-3, 0-1, 4-3, 2-1, 2-3"
W + noise,1.000006538394582,"[17.0, 17.0, 12.0, 11.0, 12.0, 11.0, 12.0, 2.0, 11.0, 21.0, 12.0]","3-4, 3-4, 2-3, 2-1, 2-3, 2-1, 2-3, 0-1, 2-1, 4-3, 2-3"
W + noise,1.0000053371045334,"[17.0, 2.0, 12.0, 11.0, 12.0, 11.0, 12.0, 2.0, 11.0, 21.0, 12.0]","3-4, 0-1, 2-3, 2-1, 2-3, 2-1, 2-3, 0-1, 2-1, 4-3, 2-3"
W + noise,0.999979301018525,"[17.0, 17.0, 12.0, 11.0, 12.0, 11.0, 12.0, 2.0, 11.0, 21.0, 12.0]","3-4, 3-4, 2-3, 2-1, 2-3, 2-1, 2-3, 0-1, 2-1, 4-3, 2-3"
W + noise,0.9999858806285989,"[17.0, 2.0, 12.0, 11.0, 12.0, 11.0, 12.0, 2.0, 11.0, 21.0, 12.0]","3-4, 0-1, 2-3, 2-1, 2-3, 2-1, 2-3, 0-1, 2-1, 4-3, 2-3"
W + noise,1.000010098406004,"[17.0, 2.0, 12.0, 11.0, 12.0, 11.0, 12.0, 2.0, 11.0, 21.0, 12.0]","3-4, 0-1, 2-3, 2-1, 2-3, 2-1, 2-3, 0-1, 2-1, 4-3, 2-3"
