Label,Fidelity,Actions,Verbose Sequence
GHZ,0.9999999999997174,"[10.0, 6.0, 2.0, 5.0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 0-1, 1-0, 1-0, 1-0"
GHZ + noise,1.0000070379224604,"[10.0, 6.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 0-1"
GHZ + noise,1.0000320001741223,"[10.0, 6.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 0-1"
GHZ + noise,0.999999356841653,"[10.0, 6.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 0-1"
GHZ + noise,1.000003698568674,"[10.0, 6.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 0-1"
GHZ + noise,1.0000202021959197,"[10.0, 6.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 0-1"
W,0.749727166676895,"[6.0, 10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1-2, 2-3, 1-0, 1-2"
W + noise,0.9330254375592035,"[6.0, 10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1-2, 2-3, 1-0, 1-2"
W + noise,0.9330270049660703,"[6.0, 10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1-2, 2-3, 1-0, 1-2"
W + noise,0.7494221637840799,"[6.0, 10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1-2, 2-3, 1-0, 1-2"
W + noise,0.9329945071491377,"[6.0, 10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1-2, 2-3, 1-0, 1-2"
W + noise,0.9329950407349284,"[6.0, 10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1-2, 2-3, 1-0, 1-2"
