sequences,seq_str,occur,freq
"[6, 10, 2, 6, 0, 0, 0, 0, 0, 0]","1-2, 2-3, 0-1, 1-2",618,0.618
"[6, 10, 6, 2, 0, 0, 0, 0, 0, 0]","1-2, 2-3, 1-2, 0-1",48,0.048
"[6, 10, 2, 0, 0, 0, 0, 0, 0, 0]","1-2, 2-3, 0-1",46,0.046
"[10, 6, 2, 0, 0, 0, 0, 0, 0, 0]","2-3, 1-2, 0-1",37,0.037
"[2, 6, 10, 0, 0, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3",13,0.013
"[10, 2, 6, 0, 0, 0, 0, 0, 0, 0]","2-3, 0-1, 1-2",12,0.012
"[2, 10, 6, 2, 0, 0, 0, 0, 0, 0]","0-1, 2-3, 1-2, 0-1",10,0.01
"[2, 6, 0, 0, 0, 0, 0, 0, 0, 0]","0-1, 1-2",10,0.01
"[2, 10, 6, 0, 0, 0, 0, 0, 0, 0]","0-1, 2-3, 1-2",10,0.01
"[6, 10, 6, 0, 0, 0, 0, 0, 0, 0]","1-2, 2-3, 1-2",9,0.009
"[10, 2, 0, 0, 0, 0, 0, 0, 0, 0]","2-3, 0-1",9,0.009
"[6, 10, 2, 6, 6, 0, 0, 0, 0, 0]","1-2, 2-3, 0-1, 1-2, 1-2",9,0.009
"[2, 6, 6, 10, 0, 0, 0, 0, 0, 0]","0-1, 1-2, 1-2, 2-3",8,0.008
"[2, 10, 2, 6, 0, 0, 0, 0, 0, 0]","0-1, 2-3, 0-1, 1-2",8,0.008
"[10, 10, 2, 6, 0, 0, 0, 0, 0, 0]","2-3, 2-3, 0-1, 1-2",6,0.006
"[10, 6, 0, 0, 0, 0, 0, 0, 0, 0]","2-3, 1-2",6,0.006
"[6, 10, 0, 0, 0, 0, 0, 0, 0, 0]","1-2, 2-3",6,0.006
"[10, 2, 6, 2, 0, 0, 0, 0, 0, 0]","2-3, 0-1, 1-2, 0-1",6,0.006
"[6, 10, 6, 6, 0, 0, 0, 0, 0, 0]","1-2, 2-3, 1-2, 1-2",5,0.005
"[10, 10, 6, 2, 0, 0, 0, 0, 0, 0]","2-3, 2-3, 1-2, 0-1",5,0.005
"[6, 10, 10, 2, 6, 0, 0, 0, 0, 0]","1-2, 2-3, 2-3, 0-1, 1-2",5,0.005
"[6, 10, 2, 6, 2, 0, 0, 0, 0, 0]","1-2, 2-3, 0-1, 1-2, 0-1",5,0.005
"[10, 10, 6, 0, 0, 0, 0, 0, 0, 0]","2-3, 2-3, 1-2",4,0.004
"[10, 6, 2, 6, 2, 0, 0, 0, 0, 0]","2-3, 1-2, 0-1, 1-2, 0-1",4,0.004
"[6, 2, 10, 0, 0, 0, 0, 0, 0, 0]","1-2, 0-1, 2-3",4,0.004
"[10, 6, 2, 10, 6, 0, 0, 0, 0, 0]","2-3, 1-2, 0-1, 2-3, 1-2",4,0.004
"[10, 6, 6, 2, 0, 0, 0, 0, 0, 0]","2-3, 1-2, 1-2, 0-1",4,0.004
"[10, 6, 10, 6, 2, 0, 0, 0, 0, 0]","2-3, 1-2, 2-3, 1-2, 0-1",3,0.003
"[2, 6, 2, 0, 0, 0, 0, 0, 0, 0]","0-1, 1-2, 0-1",3,0.003
"[2, 6, 10, 6, 0, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3, 1-2",3,0.003
"[10, 6, 2, 10, 6, 2, 0, 0, 0, 0]","2-3, 1-2, 0-1, 2-3, 1-2, 0-1",3,0.003
"[6, 10, 2, 2, 6, 0, 0, 0, 0, 0]","1-2, 2-3, 0-1, 0-1, 1-2",3,0.003
"[2, 6, 10, 6, 2, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3, 1-2, 0-1",2,0.002
"[10, 6, 6, 2, 6, 0, 0, 0, 0, 0]","2-3, 1-2, 1-2, 0-1, 1-2",2,0.002
"[10, 6, 2, 6, 10, 0, 0, 0, 0, 0]","2-3, 1-2, 0-1, 1-2, 2-3",2,0.002
"[6, 2, 0, 0, 0, 0, 0, 0, 0, 0]","1-2, 0-1",2,0.002
"[6, 10, 2, 6, 10, 0, 0, 0, 0, 0]","1-2, 2-3, 0-1, 1-2, 2-3",2,0.002
"[6, 10, 10, 2, 2, 6, 0, 0, 0, 0]","1-2, 2-3, 2-3, 0-1, 0-1, 1-2",2,0.002
"[10, 6, 6, 0, 0, 0, 0, 0, 0, 0]","2-3, 1-2, 1-2",2,0.002
"[6, 2, 6, 10, 0, 0, 0, 0, 0, 0]","1-2, 0-1, 1-2, 2-3",2,0.002
"[6, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1-2,2,0.002
"[10, 6, 2, 6, 0, 0, 0, 0, 0, 0]","2-3, 1-2, 0-1, 1-2",2,0.002
"[6, 2, 10, 6, 2, 0, 0, 0, 0, 0]","1-2, 0-1, 2-3, 1-2, 0-1",2,0.002
"[10, 6, 2, 6, 6, 10, 0, 0, 0, 0]","2-3, 1-2, 0-1, 1-2, 1-2, 2-3",1,0.001
"[2, 2, 10, 0, 0, 0, 0, 0, 0, 0]","0-1, 0-1, 2-3",1,0.001
"[6, 2, 10, 10, 0, 0, 0, 0, 0, 0]","1-2, 0-1, 2-3, 2-3",1,0.001
"[2, 6, 6, 2, 2, 6, 6, 10, 6, 0]","0-1, 1-2, 1-2, 0-1, 0-1, 1-2, 1-2, 2-3, 1-2",1,0.001
"[10, 6, 10, 2, 6, 0, 0, 0, 0, 0]","2-3, 1-2, 2-3, 0-1, 1-2",1,0.001
"[6, 6, 10, 0, 0, 0, 0, 0, 0, 0]","1-2, 1-2, 2-3",1,0.001
"[2, 6, 10, 10, 2, 6, 0, 0, 0, 0]","0-1, 1-2, 2-3, 2-3, 0-1, 1-2",1,0.001
"[6, 6, 2, 6, 0, 0, 0, 0, 0, 0]","1-2, 1-2, 0-1, 1-2",1,0.001
"[6, 10, 10, 6, 0, 0, 0, 0, 0, 0]","1-2, 2-3, 2-3, 1-2",1,0.001
"[2, 6, 2, 6, 6, 10, 0, 0, 0, 0]","0-1, 1-2, 0-1, 1-2, 1-2, 2-3",1,0.001
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,1,0.001
"[10, 2, 6, 10, 0, 0, 0, 0, 0, 0]","2-3, 0-1, 1-2, 2-3",1,0.001
"[2, 10, 6, 6, 10, 0, 0, 0, 0, 0]","0-1, 2-3, 1-2, 1-2, 2-3",1,0.001
"[10, 6, 10, 2, 2, 6, 0, 0, 0, 0]","2-3, 1-2, 2-3, 0-1, 0-1, 1-2",1,0.001
"[10, 6, 6, 10, 0, 0, 0, 0, 0, 0]","2-3, 1-2, 1-2, 2-3",1,0.001
"[10, 6, 6, 10, 2, 6, 0, 0, 0, 0]","2-3, 1-2, 1-2, 2-3, 0-1, 1-2",1,0.001
"[2, 6, 2, 10, 0, 0, 0, 0, 0, 0]","0-1, 1-2, 0-1, 2-3",1,0.001
"[10, 6, 10, 6, 0, 0, 0, 0, 0, 0]","2-3, 1-2, 2-3, 1-2",1,0.001
"[10, 6, 2, 2, 6, 0, 0, 0, 0, 0]","2-3, 1-2, 0-1, 0-1, 1-2",1,0.001
"[10, 6, 6, 10, 2, 0, 0, 0, 0, 0]","2-3, 1-2, 1-2, 2-3, 0-1",1,0.001
