sequences,seq_str,occur,freq
"[2, 7, 6, 0, 0, 0, 0, 0, 0, 0]","0-1, 1-3, 1-2",24,0.024
"[2, 6, 10, 0, 0, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3",13,0.013
"[2, 3, 2, 7, 0, 0, 0, 0, 0, 0]","0-1, 0-2, 0-1, 1-3",12,0.012
"[2, 10, 6, 0, 0, 0, 0, 0, 0, 0]","0-1, 2-3, 1-2",11,0.011
"[4, 2, 6, 0, 0, 0, 0, 0, 0, 0]","0-3, 0-1, 1-2",11,0.011
"[2, 3, 4, 0, 0, 0, 0, 0, 0, 0]","0-1, 0-2, 0-3",11,0.011
"[2, 7, 10, 0, 0, 0, 0, 0, 0, 0]","0-1, 1-3, 2-3",10,0.01
"[2, 4, 3, 0, 0, 0, 0, 0, 0, 0]","0-1, 0-3, 0-2",9,0.009
"[4, 3, 6, 0, 0, 0, 0, 0, 0, 0]","0-3, 0-2, 1-2",9,0.009
"[2, 4, 3, 2, 0, 0, 0, 0, 0, 0]","0-1, 0-3, 0-2, 0-1",8,0.008
"[2, 4, 3, 6, 0, 0, 0, 0, 0, 0]","0-1, 0-3, 0-2, 1-2",8,0.008
"[2, 6, 7, 0, 0, 0, 0, 0, 0, 0]","0-1, 1-2, 1-3",8,0.008
"[2, 2, 7, 6, 0, 0, 0, 0, 0, 0]","0-1, 0-1, 1-3, 1-2",8,0.008
"[4, 7, 6, 0, 0, 0, 0, 0, 0, 0]","0-3, 1-3, 1-2",8,0.008
"[3, 2, 7, 6, 0, 0, 0, 0, 0, 0]","0-2, 0-1, 1-3, 1-2",7,0.007
"[3, 10, 0, 0, 0, 0, 0, 0, 0, 0]","0-2, 2-3",7,0.007
"[3, 2, 4, 0, 0, 0, 0, 0, 0, 0]","0-2, 0-1, 0-3",7,0.007
"[3, 6, 10, 0, 0, 0, 0, 0, 0, 0]","0-2, 1-2, 2-3",7,0.007
"[4, 3, 2, 0, 0, 0, 0, 0, 0, 0]","0-3, 0-2, 0-1",6,0.006
"[2, 7, 10, 3, 0, 0, 0, 0, 0, 0]","0-1, 1-3, 2-3, 0-2",6,0.006
"[2, 7, 10, 6, 0, 0, 0, 0, 0, 0]","0-1, 1-3, 2-3, 1-2",6,0.006
"[3, 7, 6, 0, 0, 0, 0, 0, 0, 0]","0-2, 1-3, 1-2",6,0.006
"[2, 7, 3, 6, 0, 0, 0, 0, 0, 0]","0-1, 1-3, 0-2, 1-2",6,0.006
