N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,sequence
4.0,0.6979753898000451,0.528631490659766,0.7188767012021962,0.8722548049880889,0.8097786881699625,0.8987831938278313,0.8683672923716463,0.8026641629196875,0.8947822976970613,0.9698691922575224,0.9999999999999997,7.0,7.0,7.0,7.0,"1-0, 3-1, 2-0, 2-1"
2.0,0.6867885805973262,0.6294769790699332,0.7861461384313546,0.849689560848237,0.9467675081254956,0.9728813677667212,0.8504914107198739,0.9484523403109253,0.973754503182311,0.87335551270772,0.9999999999999993,2.0,2.0,2.0,2.0,"2-1, 2-0"
3.0,0.6025486174474672,0.5896426056266579,0.7607596003556452,0.7551138877338313,0.9109766129734659,0.9540361609824031,0.7528461969780862,0.9044962723440639,0.9506984240792694,0.7918920233454617,0.9999999999999998,3.0,3.0,3.0,3.0,"0-3, 2-1, 2-0"
3.0,0.6547587369600231,0.6057955814379017,0.7711580002462936,0.8119446464318809,0.9159411249263515,0.956800934239141,0.8115492515549989,0.9141086331820765,0.9558266204211079,0.8490848008022712,1.0000000000000007,3.0,3.0,3.0,3.0,"3-2, 2-0, 3-1"
3.0,0.699914558022719,0.5760932730507677,0.7526324802996726,0.8843119469510301,0.9080994768546005,0.9527073298979607,0.8836060473191099,0.9067591772602611,0.9519478974884703,0.9281563178276693,0.9999999999999996,3.0,3.0,3.0,3.0,"0-3, 0-1, 2-3"
4.0,0.711614750560458,0.5537181038276798,0.7364858789308268,0.9076698691812521,0.8849701241157438,0.9402858328101487,0.9091711069851788,0.8882736229017225,0.942077540479358,0.9650556073752756,1.0000000000000027,4.0,4.0,4.0,4.0,"0-3, 0-3, 2-1, 2-0"
3.0,0.6127028163415198,0.5797723347408277,0.7548014923910269,0.7719930940041094,0.9095730450801975,0.9533570658942829,0.7696043627915079,0.9034966248376048,0.9501055089632562,0.8100153745476674,0.9999999999999981,3.0,3.0,3.0,3.0,"3-2, 0-3, 1-0"
2.0,0.6367462653253839,0.614967646958146,0.7774802750665353,0.7947092602170167,0.941914808856789,0.9703617431882687,0.7968941910646992,0.9475188695647412,0.9732884848722652,0.8187809924183581,1.0000000000000007,2.0,2.0,2.0,2.0,"0-3, 2-0"
3.0,0.6460926059315713,0.5608239453971264,0.7411732156478601,0.8063227367215458,0.8593406519483158,0.926439973789568,0.823228237764026,0.8945086352348791,0.9454905403903318,0.8705284137417204,0.9999999999999981,4.0,6.0,4.0,6.0,"2-1, 3-2, 2-0"
2.0,0.7685391383996898,0.7525138736959902,0.8655339041144847,0.8680428839689178,0.9564416932778979,0.9778974015248849,0.8676633785561365,0.9559372091716377,0.9776660208135248,0.8874827642389895,0.999999999999999,2.0,2.0,2.0,2.0,"0-3, 2-1"
