sequences,seq_str,occur,freq
"[2, 7, 10, 0, 0, 0, 0, 0, 0, 0]","0-1, 1-3, 2-3",25,0.025
"[2, 7, 6, 0, 0, 0, 0, 0, 0, 0]","0-1, 1-3, 1-2",21,0.021
"[4, 2, 6, 0, 0, 0, 0, 0, 0, 0]","0-3, 0-1, 1-2",19,0.019
"[7, 2, 6, 0, 0, 0, 0, 0, 0, 0]","1-3, 0-1, 1-2",19,0.019
"[2, 10, 4, 0, 0, 0, 0, 0, 0, 0]","0-1, 2-3, 0-3",19,0.019
"[7, 10, 4, 0, 0, 0, 0, 0, 0, 0]","1-3, 2-3, 0-3",16,0.016
"[2, 7, 10, 4, 0, 0, 0, 0, 0, 0]","0-1, 1-3, 2-3, 0-3",12,0.012
"[2, 4, 2, 6, 0, 0, 0, 0, 0, 0]","0-1, 0-3, 0-1, 1-2",11,0.011
"[2, 10, 7, 0, 0, 0, 0, 0, 0, 0]","0-1, 2-3, 1-3",10,0.01
"[2, 3, 10, 0, 0, 0, 0, 0, 0, 0]","0-1, 0-2, 2-3",9,0.009
"[4, 2, 3, 0, 0, 0, 0, 0, 0, 0]","0-3, 0-1, 0-2",9,0.009
"[2, 6, 0, 0, 0, 0, 0, 0, 0, 0]","0-1, 1-2",9,0.009
"[10, 2, 7, 0, 0, 0, 0, 0, 0, 0]","2-3, 0-1, 1-3",9,0.009
"[7, 4, 2, 6, 0, 0, 0, 0, 0, 0]","1-3, 0-3, 0-1, 1-2",9,0.009
"[2, 7, 3, 10, 0, 0, 0, 0, 0, 0]","0-1, 1-3, 0-2, 2-3",8,0.008
"[4, 10, 7, 0, 0, 0, 0, 0, 0, 0]","0-3, 2-3, 1-3",8,0.008
"[7, 3, 10, 0, 0, 0, 0, 0, 0, 0]","1-3, 0-2, 2-3",8,0.008
"[7, 2, 7, 10, 0, 0, 0, 0, 0, 0]","1-3, 0-1, 1-3, 2-3",8,0.008
"[7, 10, 2, 0, 0, 0, 0, 0, 0, 0]","1-3, 2-3, 0-1",8,0.008
"[7, 2, 10, 7, 0, 0, 0, 0, 0, 0]","1-3, 0-1, 2-3, 1-3",8,0.008
"[10, 2, 6, 0, 0, 0, 0, 0, 0, 0]","2-3, 0-1, 1-2",8,0.008
"[6, 10, 4, 0, 0, 0, 0, 0, 0, 0]","1-2, 2-3, 0-3",8,0.008
"[2, 6, 10, 0, 0, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3",7,0.007
"[2, 2, 7, 10, 0, 0, 0, 0, 0, 0]","0-1, 0-1, 1-3, 2-3",7,0.007
"[7, 2, 7, 6, 0, 0, 0, 0, 0, 0]","1-3, 0-1, 1-3, 1-2",7,0.007
"[4, 7, 10, 0, 0, 0, 0, 0, 0, 0]","0-3, 1-3, 2-3",7,0.007
