Label,Fidelity,Actions,Verbose Sequence
GHZ,0.4999999999999999,"[6.0, 11.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1-2, 3-0, 1-3"
GHZ + noise,0.9999611806370247,"[6.0, 11.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1-2, 3-0, 1-3"
W,0.7998931951790824,"[7.0, 2.0, 10.0, 12.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0]","1-3, 0-1, 2-3, 3-1, 0-2, 0-2"
W + noise,0.9330023737585209,"[7.0, 10.0, 10.0, 12.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1-3, 2-3, 2-3, 3-1, 0-2"
