N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,sequence
5.0,0.691803571928927,0.5161973190658735,0.7093772419543789,0.8490206671738016,0.7637283268412094,0.8724507517104366,0.8476075055544281,0.7613053293262624,0.8711488098686135,0.9724411110572422,1.0000000000000007,11.0,11.0,11.0,11.0,"1-3, 0-1, 2-3, 3-1, 0-2"
3.0,0.719311975204401,0.602986898589322,0.7691320623784363,0.8952156875247265,0.9184194982576412,0.9580834171775743,0.8923730682696028,0.9132903726386278,0.9554287349683362,0.9339981681420405,1.0000000000000004,3.0,3.0,3.0,3.0,"1-2, 2-3, 0-1"
5.0,0.6169245629699113,0.495370265701384,0.6954544502077893,0.7741421269167317,0.7621191865176888,0.8715992072142209,0.7733004158604214,0.7603893858516317,0.8705354399223757,0.8877747897063886,1.0000000000000004,11.0,11.0,11.0,11.0,"1-3, 0-1, 2-3, 3-1, 0-2"
5.0,0.6956629894189383,0.5617674067075379,0.741862712617992,0.8469224924999079,0.8159371454475709,0.9022219710191959,0.8493614096953261,0.8194413883886495,0.9043051681132562,0.9396451561570869,1.000000000000001,8.0,8.0,8.0,8.0,"2-3, 1-0, 2-3, 3-1, 0-2"
4.0,0.7253493989917974,0.5536686734015359,0.7373599580051526,0.918914492687031,0.8727275444421756,0.9338230952653499,0.9217842333868239,0.8779227746802134,0.9366241472244475,0.9841600512021713,1.0000000000000004,4.0,4.0,4.0,4.0,"1-3, 0-1, 2-3, 3-1"
5.0,0.676856337166249,0.482360479220836,0.6857538857642747,0.8490288310197699,0.7438594191969345,0.8609208082232909,0.8491450337381704,0.7435221848539961,0.8607410579934301,0.9865770216657169,0.9999999999999996,11.0,11.0,11.0,11.0,"1-3, 0-1, 2-3, 3-1, 0-2"
5.0,0.6659080533158608,0.4700151256958309,0.6768311217186915,0.8434644495070023,0.7387055587678499,0.857941036650969,0.8296334320165756,0.7151881629090273,0.8440236274449868,0.9833646588600354,1.0000000000000018,11.0,11.0,11.0,11.0,"0-2, 0-1, 2-3, 3-1, 0-2"
5.0,0.6626999285211765,0.5178516271926414,0.7118062489616044,0.8073804264258717,0.7558095269017803,0.8677227415012005,0.7950166914846339,0.731091218791811,0.8532354253706571,0.9292716942844738,1.0000000000000004,11.0,11.0,11.0,11.0,"1-3, 0-1, 2-3, 3-1, 0-2"
5.0,0.6644289878958664,0.49041693453024726,0.6915364332986602,0.827643552156276,0.7468632622620102,0.862680236801461,0.8265498692248601,0.7452620513956285,0.8619037124816703,0.9593617708770275,1.0000000000000004,11.0,11.0,11.0,11.0,"1-3, 0-1, 2-3, 3-1, 0-2"
3.0,0.7357378965015108,0.5948405705942056,0.7640550487861617,0.9187956406212746,0.9111921139064088,0.9541544115695614,0.9189669141791967,0.9120489820341812,0.9546534487629537,0.9626236646529716,0.9999999999999998,3.0,3.0,3.0,3.0,"3-0, 1-2, 3-1"
5.0,0.6584266575236102,0.48188511364012737,0.6857989501939015,0.8278523192511071,0.7460047610583698,0.8622307442821142,0.8246011137431759,0.7396058272895069,0.8585122927624922,0.9588526509543944,0.9999999999999987,11.0,11.0,11.0,11.0,"1-3, 0-1, 2-3, 3-1, 0-2"
5.0,0.678300007168509,0.48519962427174745,0.6876891159553679,0.8533816623677037,0.7538293462994381,0.8668310284718612,0.8502830601468665,0.7487165908953851,0.8636935799417744,0.9843562744327686,1.0000000000000009,11.0,11.0,11.0,11.0,"1-3, 0-1, 2-3, 3-1, 0-2"
5.0,0.7513865030312065,0.588375058188962,0.7590277223643402,0.9238872303523172,0.8704748607967048,0.9324817795453775,0.9162486894605523,0.856329441100843,0.9249170393193575,0.9908309938381795,0.999999999999999,5.0,5.0,5.0,5.0,"0-2, 2-3, 2-3, 3-1, 0-2"
4.0,0.692270776066092,0.5810676273791964,0.7555123265111399,0.8636927134259729,0.8833236988666396,0.9394113471799669,0.8585541079858097,0.8729186982497555,0.933787023793539,0.920136113224977,0.9999999999999996,4.0,4.0,4.0,4.0,"1-3, 0-1, 2-3, 3-1"
5.0,0.6879039605350384,0.49361231853991017,0.6948258628608341,0.8779101715071267,0.7874440672055535,0.8862054510718466,0.8839691744876574,0.7980114346003399,0.8923505047361995,0.9908223439073144,1.0000000000000022,8.0,8.0,8.0,8.0,"1-3, 0-1, 2-3, 0-3, 1-2"
5.0,0.6756270084066052,0.5002840064196589,0.6992759713919469,0.8334247215194082,0.7480784398624593,0.8632834087099077,0.8296477113292102,0.7402905057813315,0.8588105415510368,0.9653545831506464,0.9999999999999991,11.0,11.0,11.0,11.0,"1-3, 0-1, 2-3, 3-1, 0-2"
