sequences,seq_str,occur,freq
"[7, 2, 10, 7, 3, 0, 0, 0, 0, 0]","1-3, 0-1, 2-3, 1-3, 0-2",734,0.734
"[2, 2, 10, 7, 3, 0, 0, 0, 0, 0]","0-1, 0-1, 2-3, 1-3, 0-2",49,0.049
"[7, 2, 10, 7, 0, 0, 0, 0, 0, 0]","1-3, 0-1, 2-3, 1-3",29,0.029
"[6, 2, 10, 7, 3, 0, 0, 0, 0, 0]","1-2, 0-1, 2-3, 1-3, 0-2",24,0.024
"[3, 2, 10, 7, 3, 0, 0, 0, 0, 0]","0-2, 0-1, 2-3, 1-3, 0-2",23,0.023
"[7, 6, 10, 7, 3, 0, 0, 0, 0, 0]","1-3, 1-2, 2-3, 1-3, 0-2",22,0.022
"[7, 10, 10, 7, 3, 0, 0, 0, 0, 0]","1-3, 2-3, 2-3, 1-3, 0-2",19,0.019
"[7, 2, 6, 7, 3, 0, 0, 0, 0, 0]","1-3, 0-1, 1-2, 1-3, 0-2",10,0.01
"[2, 6, 10, 7, 3, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3, 1-3, 0-2",7,0.007
"[7, 2, 6, 7, 0, 0, 0, 0, 0, 0]","1-3, 0-1, 1-2, 1-3",4,0.004
"[2, 3, 10, 7, 3, 0, 0, 0, 0, 0]","0-1, 0-2, 2-3, 1-3, 0-2",4,0.004
"[3, 2, 10, 4, 0, 0, 0, 0, 0, 0]","0-2, 0-1, 2-3, 0-3",3,0.003
"[7, 2, 10, 7, 6, 3, 0, 0, 0, 0]","1-3, 0-1, 2-3, 1-3, 1-2, 0-2",3,0.003
"[7, 3, 10, 7, 3, 0, 0, 0, 0, 0]","1-3, 0-2, 2-3, 1-3, 0-2",3,0.003
"[3, 2, 10, 7, 0, 0, 0, 0, 0, 0]","0-2, 0-1, 2-3, 1-3",3,0.003
"[7, 2, 3, 0, 0, 0, 0, 0, 0, 0]","1-3, 0-1, 0-2",2,0.002
"[7, 6, 2, 7, 0, 0, 0, 0, 0, 0]","1-3, 1-2, 0-1, 1-3",2,0.002
"[7, 2, 10, 4, 6, 0, 0, 0, 0, 0]","1-3, 0-1, 2-3, 0-3, 1-2",2,0.002
"[7, 10, 10, 7, 0, 0, 0, 0, 0, 0]","1-3, 2-3, 2-3, 1-3",2,0.002
"[7, 2, 10, 4, 0, 0, 0, 0, 0, 0]","1-3, 0-1, 2-3, 0-3",2,0.002
"[7, 10, 3, 0, 0, 0, 0, 0, 0, 0]","1-3, 2-3, 0-2",2,0.002
"[10, 2, 10, 7, 3, 0, 0, 0, 0, 0]","2-3, 0-1, 2-3, 1-3, 0-2",2,0.002
"[10, 2, 4, 6, 0, 0, 0, 0, 0, 0]","2-3, 0-1, 0-3, 1-2",2,0.002
"[7, 2, 6, 0, 0, 0, 0, 0, 0, 0]","1-3, 0-1, 1-2",2,0.002
"[3, 10, 10, 7, 3, 0, 0, 0, 0, 0]","0-2, 2-3, 2-3, 1-3, 0-2",2,0.002
"[6, 10, 4, 7, 0, 0, 0, 0, 0, 0]","1-2, 2-3, 0-3, 1-3",1,0.001
"[2, 6, 4, 10, 0, 0, 0, 0, 0, 0]","0-1, 1-2, 0-3, 2-3",1,0.001
"[3, 2, 7, 10, 7, 0, 0, 0, 0, 0]","0-2, 0-1, 1-3, 2-3, 1-3",1,0.001
"[6, 6, 10, 6, 7, 2, 0, 0, 0, 0]","1-2, 1-2, 2-3, 1-2, 1-3, 0-1",1,0.001
"[7, 10, 3, 6, 0, 0, 0, 0, 0, 0]","1-3, 2-3, 0-2, 1-2",1,0.001
"[2, 6, 7, 7, 6, 3, 0, 0, 0, 0]","0-1, 1-2, 1-3, 1-3, 1-2, 0-2",1,0.001
"[4, 7, 10, 7, 3, 0, 0, 0, 0, 0]","0-3, 1-3, 2-3, 1-3, 0-2",1,0.001
"[7, 2, 10, 6, 0, 0, 0, 0, 0, 0]","1-3, 0-1, 2-3, 1-2",1,0.001
"[10, 3, 2, 4, 0, 0, 0, 0, 0, 0]","2-3, 0-2, 0-1, 0-3",1,0.001
"[2, 10, 10, 7, 3, 0, 0, 0, 0, 0]","0-1, 2-3, 2-3, 1-3, 0-2",1,0.001
"[2, 3, 4, 0, 0, 0, 0, 0, 0, 0]","0-1, 0-2, 0-3",1,0.001
"[7, 6, 2, 0, 0, 0, 0, 0, 0, 0]","1-3, 1-2, 0-1",1,0.001
"[10, 2, 6, 7, 0, 0, 0, 0, 0, 0]","2-3, 0-1, 1-2, 1-3",1,0.001
"[2, 7, 0, 0, 0, 0, 0, 0, 0, 0]","0-1, 1-3",1,0.001
"[7, 6, 10, 7, 0, 0, 0, 0, 0, 0]","1-3, 1-2, 2-3, 1-3",1,0.001
"[2, 10, 3, 7, 0, 0, 0, 0, 0, 0]","0-1, 2-3, 0-2, 1-3",1,0.001
"[10, 2, 3, 7, 2, 0, 0, 0, 0, 0]","2-3, 0-1, 0-2, 1-3, 0-1",1,0.001
"[6, 4, 7, 10, 0, 0, 0, 0, 0, 0]","1-2, 0-3, 1-3, 2-3",1,0.001
"[7, 2, 10, 7, 3, 6, 0, 0, 0, 0]","1-3, 0-1, 2-3, 1-3, 0-2, 1-2",1,0.001
"[7, 2, 10, 0, 0, 0, 0, 0, 0, 0]","1-3, 0-1, 2-3",1,0.001
"[3, 4, 10, 7, 0, 0, 0, 0, 0, 0]","0-2, 0-3, 2-3, 1-3",1,0.001
"[7, 10, 6, 3, 7, 0, 0, 0, 0, 0]","1-3, 2-3, 1-2, 0-2, 1-3",1,0.001
"[3, 10, 7, 3, 3, 0, 0, 0, 0, 0]","0-2, 2-3, 1-3, 0-2, 0-2",1,0.001
"[6, 3, 7, 4, 0, 0, 0, 0, 0, 0]","1-2, 0-2, 1-3, 0-3",1,0.001
"[7, 2, 10, 4, 6, 3, 0, 0, 0, 0]","1-3, 0-1, 2-3, 0-3, 1-2, 0-2",1,0.001
"[7, 6, 2, 7, 3, 0, 0, 0, 0, 0]","1-3, 1-2, 0-1, 1-3, 0-2",1,0.001
"[6, 2, 10, 7, 4, 0, 0, 0, 0, 0]","1-2, 0-1, 2-3, 1-3, 0-3",1,0.001
"[6, 2, 10, 7, 6, 3, 0, 0, 0, 0]","1-2, 0-1, 2-3, 1-3, 1-2, 0-2",1,0.001
"[6, 2, 7, 7, 3, 0, 0, 0, 0, 0]","1-2, 0-1, 1-3, 1-3, 0-2",1,0.001
"[6, 2, 4, 7, 0, 0, 0, 0, 0, 0]","1-2, 0-1, 0-3, 1-3",1,0.001
"[10, 2, 7, 10, 3, 0, 0, 0, 0, 0]","2-3, 0-1, 1-3, 2-3, 0-2",1,0.001
"[3, 2, 7, 4, 0, 0, 0, 0, 0, 0]","0-2, 0-1, 1-3, 0-3",1,0.001
"[2, 4, 10, 7, 0, 0, 0, 0, 0, 0]","0-1, 0-3, 2-3, 1-3",1,0.001
"[7, 4, 7, 6, 0, 0, 0, 0, 0, 0]","1-3, 0-3, 1-3, 1-2",1,0.001
"[3, 10, 6, 7, 0, 0, 0, 0, 0, 0]","0-2, 2-3, 1-2, 1-3",1,0.001
"[2, 3, 6, 7, 3, 0, 0, 0, 0, 0]","0-1, 0-2, 1-2, 1-3, 0-2",1,0.001
"[2, 4, 10, 0, 0, 0, 0, 0, 0, 0]","0-1, 0-3, 2-3",1,0.001
