Label,Fidelity,Actions,Verbose Sequence
GHZ,0.4999999999999999,"[10.0, 3.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 0-2, 1-0"
GHZ + noise,0.9999757733143022,"[10.0, 3.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 0-2, 1-0"
W,0.25,"[6.0, 6.0, 11.0, 11.0, 7.0, 3.0, 5.0, 3.0, 3.0, 3.0]","1-2, 1-2, 3-0, 3-0, 1-3, 0-2, 1-0, 0-2, 0-2, 0-2"
W + noise,0.7499911335124305,"[6.0, 6.0, 3.0, 3.0, 2.0, 6.0, 0.0, 0.0, 0.0, 0.0]","1-2, 1-2, 0-2, 0-2, 0-1, 1-2"
