N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,estimator_verification_100,estimator_verification_1000,estimator_verification_5000,estimator_verification_10000,estimator_verification_20000,sequence
6.0,0.7308200471025236,0.5490656327182144,0.7308361138278188,0.742558440753631,0.5711472394755062,0.7424196403420852,0.08395943885209506,0.0946720362685378,0.08393450923231405,1.001163007242679,1.0000000000000018,6.0,6.0,6.0,6.0,0.7862080828914526,0.8841381366061396,0.9664516185054104,0.9965940429063976,0.9798342835011316,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7133301574355663,0.5293458231227691,0.7135729388247084,0.8277046381863445,0.6948575581101402,0.8277531487461055,0.1710580848765669,0.20396494941039228,0.17104266831130374,1.0010915879865268,0.9999999999999962,6.0,6.0,6.0,6.0,0.8326943357545501,0.9446283380548106,0.970079775126216,0.9814805937066708,0.9872061458049917,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.6906832972868919,0.496010706242932,0.6907599650413724,0.8233687095310084,0.6830118853118503,0.8232510463070348,0.9142245990361616,0.8352190672419806,0.91402984169553,1.0007399847634175,0.9999999999999987,6.0,6.0,6.0,6.0,0.8970286558283702,0.9522664458898464,0.9752210323996163,0.9830815502587484,0.9870055947085997,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.6739022246430355,0.4843716587298711,0.6738106829779289,0.815031119916135,0.6800019178045326,0.8166680422892768,0.9065353798131357,0.8237667961673764,0.9077838079171473,0.9995570850162945,0.9999999999999963,6.0,6.0,6.0,6.0,0.9129977165840346,0.9617466226718755,0.9806241440279362,0.9864957343536445,0.990642556872355,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7441494495820754,0.5667211804356886,0.7437689526467162,0.8387025887535984,0.7137997777859603,0.8390997084455228,0.8216610333621027,0.6774599868401943,0.8213061006587056,1.0010488121748642,0.9999999999999981,6.0,6.0,6.0,6.0,0.8531164449683978,0.9473499537767452,0.9755197633517882,0.9839002038775532,0.9905634602098561,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.6950914495330593,0.509088134390665,0.6952080140090551,0.8358111334094989,0.7036887777056681,0.8357230762627723,0.08122142620038154,0.09294704035511045,0.08121184927457517,1.0009599687241237,0.9999999999999966,6.0,6.0,6.0,6.0,0.7075434098456455,0.9039831233439224,0.9540338997076631,0.9580557330003427,0.9604970313840301,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7245340932597104,0.5410087734486594,0.7245533591994325,0.8201100798240869,0.679252378260081,0.8199965651600032,0.06923774074626268,0.06883425250849232,0.06921654904549385,1.0009061917029696,1.0000000000000009,6.0,6.0,6.0,6.0,0.6519632087278743,0.9170273040516101,0.9347971292363942,0.9458219023958173,0.9465194654036093,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7090530440497566,0.5247702381263131,0.7088744630464984,0.7678899648260793,0.6002654181753819,0.767977215176409,0.9161130476199837,0.8386751963379135,0.9162563181099326,1.0008507756942173,0.999999999999999,6.0,6.0,6.0,6.0,0.91851721937412,0.9605902110926658,0.9756155665354009,0.9846105088398169,0.9869475368172378,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7677155408178912,0.5995785711124338,0.7675357915882683,0.815864865339845,0.6784989698337764,0.8158527858746164,0.9202720947514689,0.845564990024841,0.920335041856008,1.0010295863918832,0.9999999999999998,6.0,6.0,6.0,6.0,0.9278925923587533,0.9563845848750155,0.9780082861359346,0.9825211563515823,0.9892543288470751,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7277682322223054,0.5462204540026918,0.7282875814912056,0.802633336130428,0.6580955740566354,0.8032297446150073,0.0695745665489233,0.11729291494934813,0.06962277133892357,1.0002398581752225,0.9999999999999973,6.0,6.0,6.0,6.0,0.7976724464415161,0.9541187708319465,0.9762501788947028,0.9847986876766374,0.9846802710530035,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7377706011506977,0.5734546368006892,0.7493426180616256,0.8185455309870915,0.699941881093237,0.8322586158547294,0.884381039402861,0.8027019337345835,0.8962630861276482,0.9878288670917822,0.9999999999999973,6.0,6.0,6.0,6.0,0.9023948804361861,0.9483054971608339,0.9694832671305896,0.975098670299799,0.9823333231663689,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7549455164318264,0.5819471439987307,0.7547932988005915,0.8220017628367453,0.6856994588881464,0.8219036827240959,0.07261427593875293,0.11918801011296196,0.07260133040055133,1.0009529324968789,0.9999999999999978,6.0,6.0,6.0,6.0,0.7858710263621713,0.9535380599358664,0.9708062828224503,0.980639194069772,0.9844088756447258,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7428651292311597,0.5689547197329582,0.7426292625982462,0.7999359734570933,0.6524616004523319,0.7998192998566319,0.9032957928285922,0.8163694305204564,0.9033416068993567,1.000508171484709,0.9999999999999991,6.0,6.0,6.0,6.0,0.9224602308763309,0.9649941686634996,0.981989841055549,0.9864822863578587,0.9905900016281298,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7112475782816101,0.520923935453812,0.7111760639268314,0.769015558204671,0.6069731152767841,0.769032933451478,0.07249291427894144,0.07230467536770178,0.07252020518067256,1.0010777193411962,0.9999999999999976,6.0,6.0,6.0,6.0,0.6349034894937634,0.9381157459675137,0.9457968946640106,0.9146285187569119,0.951648681101135,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7055628950804702,0.5169417415530837,0.7054667252829386,0.7947566860844076,0.6426496297931039,0.7945810241727435,0.06442533243162368,0.06455768801271547,0.06443410285019464,1.0008412954617754,0.9999999999999972,6.0,6.0,6.0,6.0,0.6146191043939297,0.9064197513725167,0.9318611756316216,0.9373119866935978,0.9391005580422358,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7240511153356913,0.5371752248777653,0.7239446868482889,0.760695712903913,0.5912408792885159,0.7604900352232901,0.9242391852232373,0.8534566778126343,0.9239615875286733,1.0008742338614354,1.0000000000000004,6.0,6.0,6.0,6.0,0.9282455892437902,0.9594264093062111,0.9789010024863358,0.9816632692508871,0.9859771587672568,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7388305006822595,0.5591395932827992,0.7387713122424427,0.8088693836686953,0.6633232255143586,0.8087829922763284,0.911511260287784,0.8304219410444008,0.9115033439146436,1.0009046638709787,0.9999999999999969,6.0,6.0,6.0,6.0,0.9089643373334693,0.9592631148059009,0.9755901742740396,0.9868090528996541,0.9905537320359377,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7150735805532903,0.5262258231909418,0.7151055256138679,0.8171154540413973,0.6758998941203676,0.8171765361540141,0.8991365991292277,0.8081727041765681,0.8991254686385881,1.0011445174389135,1.0000000000000013,6.0,6.0,6.0,6.0,0.9022143918233398,0.9486635410708112,0.9750934880927299,0.9786737021185901,0.9832482808005106,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.6766663399224915,0.4813863648776043,0.6760480382984121,0.7922410913562109,0.6408428668801653,0.7934524992500952,0.9505509215981204,0.9036526328543389,0.9512067773034548,1.000103428772177,0.9999999999999993,6.0,6.0,6.0,6.0,0.9385921974815851,0.9686763007591166,0.9820326442088615,0.9862854618877269,0.9876035357815173,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7280554167622245,0.5480996358826263,0.7280627264886195,0.8051074317501729,0.6567547942490155,0.8049119059654616,0.9370148723110586,0.8770601247761934,0.937094742606055,1.000591476611419,0.9999999999999948,6.0,6.0,6.0,6.0,0.9276049002095599,0.9653215468539662,0.9837003378202408,0.9855929974461431,0.9897095918612809,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.6956741805249733,0.5018758375719798,0.695612859159086,0.7943001329422233,0.6417854055244967,0.7943416133236774,0.9117782954839718,0.8306115706130196,0.9118003638926844,1.000715447336527,0.9999999999999982,6.0,6.0,6.0,6.0,0.9038414287173646,0.9550420204684854,0.9757226933970573,0.9814867051455411,0.9885933924136595,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.6976817792282873,0.5085591106696479,0.6976560410169946,0.733969286138084,0.5598059839735677,0.7339942504113511,0.8947014325642942,0.7998673338868014,0.8947366754780262,1.0010267217293187,0.9999999999999969,6.0,6.0,6.0,6.0,0.905598890021888,0.9545329824914417,0.9747396094672296,0.9848704230331152,0.9893153275637879,"2-3, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.6786595747972062,0.4785345999534226,0.6785184616042924,0.7743631897008665,0.6138871182472778,0.7745989150503746,0.9553330236271202,0.9106705235625416,0.9552437466830878,1.000824878123295,0.9999999999999977,6.0,6.0,6.0,6.0,0.9336270689163022,0.9682187363026142,0.9805071359137567,0.9874545095224436,0.989033299324337,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.6982169690866032,0.5087958931562256,0.6981879835872792,0.7650715591140447,0.607595860861431,0.7652170555353001,0.8248275604517887,0.6832830912232675,0.8249566839499373,1.0008281779896162,0.9999999999999996,6.0,6.0,6.0,6.0,0.8900592598772843,0.9484323443887426,0.9784770312798996,0.9819055104913461,0.9892397520519243,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7255136861594516,0.5419843399687242,0.7256714085496563,0.7906618931519542,0.6376269192238481,0.790833710485757,0.07037315039578233,0.07001630862815167,0.07038156151644995,1.0010566236461722,0.9999999999999987,6.0,6.0,6.0,6.0,0.6909988911410889,0.9239802591582091,0.9467128384519079,0.9502061887410763,0.9509641621898322,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7223373085918108,0.5397792660856517,0.7225339548116461,0.8379088763550506,0.7085202827717694,0.8378405609500577,0.9522584195892337,0.9052914097875591,0.9521421251073058,1.0009914953204246,0.9999999999999991,6.0,6.0,6.0,6.0,0.934999175701119,0.9678899457277722,0.9786277839719832,0.985213465326155,0.9874771767176703,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7202648640074616,0.5348226599465008,0.7205297164826169,0.8516814051426175,0.7308078804702883,0.8518639548427859,0.09802327017886615,0.09803061117268477,0.09800380063365263,1.0009289606130698,0.9999999999999962,6.0,6.0,6.0,6.0,0.7754204332713404,0.9433087591891983,0.9744045266453262,0.9597871950227506,0.9783750035216398,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7917672515621675,0.6363882050225829,0.7919441909732498,0.8813832451936469,0.7802969268918319,0.8814845779432163,0.904502261331604,0.818858215891213,0.9046113958001659,1.0010809266327871,0.9999999999999986,6.0,6.0,6.0,6.0,0.9256701954530963,0.9616573752222846,0.98107150663089,0.9871532290862711,0.9902431920662733,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.615129147007408,0.40660203083810803,0.6151808746335656,0.7901427005421497,0.6346530774528113,0.7903096384423992,0.9043229246247445,0.81735564585843,0.9046420284763022,1.0009462579053312,0.9999999999999968,6.0,6.0,6.0,6.0,0.904293524307863,0.9574598824914359,0.9756778586194621,0.9804817666642035,0.9858152199206095,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.6279735525545663,0.4189670194772735,0.6278699382046256,0.8003368752696561,0.6493362926147025,0.8001782413407094,0.927399100892212,0.8592407343643613,0.9275992419708469,1.0011490275073276,0.9999999999999982,6.0,6.0,6.0,6.0,0.9201021082147292,0.9642832535763397,0.978709358843395,0.9863508854704798,0.9876043826930212,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.6915989198608158,0.5018006193620071,0.6919165187603409,0.8177917496113105,0.6779560309982424,0.8173675558820254,0.8282542655381785,0.6889141917761317,0.8284968134311165,1.0006988315446501,0.999999999999997,6.0,6.0,6.0,6.0,0.8782137764641259,0.9477631185972214,0.9747883326716089,0.9787742416659184,0.9813119840679274,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7587770636731815,0.5854409077953031,0.7586102898331544,0.7996148777411565,0.649865562553094,0.7996000927392959,0.9210647981774328,0.8472121473422961,0.9211932821545296,1.0010345847374011,0.9999999999999984,6.0,6.0,6.0,6.0,0.9253213667967457,0.9584563430396752,0.9769979566298906,0.9814971705219455,0.986481375676351,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
