N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,estimator_verification_100,estimator_verification_1000,estimator_verification_5000,estimator_verification_10000,estimator_verification_20000,sequence
6.0,0.6999838272159292,0.5073489553223091,0.6998516827739102,0.8289516523644435,0.6948079795501025,0.8289586154544507,0.9304975246053516,0.8649755835060149,0.9307290801350264,1.0011630026720892,0.9999999999999987,6.0,6.0,6.0,6.0,0.9169376423362581,0.9642983699422315,0.9835765945770355,0.9830879813939373,0.9901899625229225,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7583682934011581,0.5885376058079318,0.7585531853643367,0.800423525036345,0.6628761095388099,0.8005129802779722,0.9283671858889891,0.8610099639435362,0.9283146907609813,1.001091598665348,0.9999999999999979,6.0,6.0,6.0,6.0,0.9231575261671977,0.9673721537683764,0.9829764670322124,0.9854824972765645,0.9912959185101777,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7059775927251251,0.517666450514374,0.7058667002817535,0.8376724156670529,0.7086130723580044,0.8376323275097312,0.9075325169850393,0.8236871309144,0.9076235420231079,1.0007399847658887,0.999999999999998,6.0,6.0,6.0,6.0,0.9096047927966773,0.9637977238465212,0.9787509914619106,0.9850855047118048,0.9885037150113003,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.72121853691019,0.5434525261602703,0.7224355941525648,0.8343016045791071,0.7078523430204102,0.8360432426095338,0.9052056065607967,0.8222559801400517,0.9063839618322568,0.9995570840106597,0.9999999999999996,6.0,6.0,6.0,6.0,0.9207923745372163,0.9654410083405437,0.9836227715379859,0.9883225623551376,0.9894969815685795,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7463336945426196,0.5704527807980737,0.7463660423198416,0.8129204646479093,0.6711443627834266,0.8130371078481753,0.9440033164280494,0.8902172592165364,0.9439211100290648,1.0010488127891417,0.9999999999999971,6.0,6.0,6.0,6.0,0.9318174628187852,0.9684736125033345,0.9835903905189972,0.9886157505365212,0.9920488078733641,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7651875192560438,0.5959405239935118,0.7652527413788041,0.8318945260470699,0.6989541424102246,0.8318318183728317,0.9048087423742459,0.81820971210045,0.9049018192678836,1.0009599687241237,0.9999999999999966,6.0,6.0,6.0,6.0,0.9077981352672473,0.9609439061762222,0.9773130064143338,0.9862543075106394,0.9903765687207813,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7241366484421629,0.5384267486276029,0.7241088867316686,0.7786394631073997,0.6186175032957968,0.778550917704559,0.9288137759840843,0.8615648714871211,0.9290892665035216,1.0009062079251387,0.9999999999999996,6.0,6.0,6.0,6.0,0.9248392139404116,0.9546140594623698,0.9741092065889911,0.9802122810096997,0.9851242916074096,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7096725330174058,0.5206617459321604,0.7097221032398455,0.7440249460553228,0.579978844824746,0.7442238310545518,0.8942012170859929,0.7992687793451795,0.8941225055404334,1.0008507873203065,1.000000000000001,6.0,6.0,6.0,6.0,0.90739218850108,0.9527273920659654,0.9727136134615787,0.9792359597543885,0.9877519920619805,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.681471506073209,0.49137294419648125,0.6815739693666008,0.8386516175075551,0.7092708032021244,0.8388038543083141,0.9108567703535654,0.8289424972232127,0.9108774942314007,1.0010295865878567,0.9999999999999969,6.0,6.0,6.0,6.0,0.9049235299089535,0.9532554440513206,0.9778397323576832,0.982672054672639,0.9862626029321856,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7507358809056786,0.5773865284972945,0.7515600306202846,0.8457422486656839,0.7249523607019863,0.8464537347471259,0.945902534434986,0.8949774446409302,0.9466506536293341,1.0002156666186102,0.9999999999999996,6.0,6.0,6.0,6.0,0.9377808953631879,0.9644740585769236,0.9772356553981845,0.9809889410881195,0.9857693806022958,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
