N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,estimator_verification_100,estimator_verification_1000,estimator_verification_5000,estimator_verification_10000,estimator_verification_20000,sequence
6.0,0.7243179390738786,0.5353794915810635,0.7245160963927886,0.9094336092976815,0.8266752522680982,0.9093227454457803,0.9066149579999558,0.8218143848376172,0.9065217770102503,1.0011630011846744,1.0000000000000009,6.0,6.0,6.0,6.0,0.917414820206065,0.9589764701191766,0.9774808337918212,0.9840093472932767,0.9874884400685051,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7390122944678776,0.5569441088513636,0.738884045718625,0.915157550371386,0.8377193535451942,0.915127127198053,0.9249188175421446,0.8554725887884915,0.924902970282235,1.001091602920292,0.9999999999999987,6.0,6.0,6.0,6.0,0.9324693182492833,0.9662138239799942,0.9822216237299156,0.9884925644159331,0.9915997197373762,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7175704169328047,0.5251069415546029,0.717642476172132,0.9065638863920675,0.8219832912984228,0.9066174852312116,0.9080709692896489,0.824456316920431,0.9080709776064654,1.000740060568686,0.9999999999999986,6.0,6.0,6.0,6.0,0.9113058214699413,0.9550634486280071,0.9726411762892029,0.980130134266638,0.986183076994734,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7403191298982474,0.5591010606953257,0.7411375805284901,0.9052459937771067,0.8219809885041937,0.906312305835882,0.9126207710040224,0.834785507926212,0.9136721797502746,0.9995643225563461,1.0000000000000002,6.0,6.0,6.0,6.0,0.9220480872621231,0.9677416463499888,0.9831330830123347,0.9867738855549685,0.9907413196933998,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7277569454746236,0.5399483844004017,0.7280182285339108,0.9089462042703286,0.8264168323507312,0.9090261267812818,0.9138805103504654,0.8350414745207486,0.9139150931958696,1.001048812090416,0.9999999999999996,6.0,6.0,6.0,6.0,0.9200380389351014,0.9665281508254717,0.9824342098154889,0.988406990578409,0.9891226541266191,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7111551636697852,0.5161813923424038,0.7111559325573407,0.9038766089220341,0.8166531370555203,0.9037333729029896,0.91304626385127,0.8332239688085634,0.9130718845345244,1.00095998448067,0.9999999999999982,6.0,6.0,6.0,6.0,0.9130692895058922,0.9591832344306399,0.9788911452261665,0.9849481371929305,0.9870193479175928,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7189124798288965,0.526681504110723,0.7188950601862841,0.9038619034368109,0.8166282367402151,0.9038163915603947,0.904357314136934,0.8173666000736018,0.9042789722908727,1.0009020343273727,1.0000000000000022,6.0,6.0,6.0,6.0,0.9156955609059796,0.9545658355842382,0.9747336425514913,0.9813153074219175,0.9850369607099719,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7382875667611791,0.5549323155459293,0.7386751698180894,0.9082202896341979,0.8242771254500081,0.9083930423626557,0.9138629353612887,0.8345436755747226,0.9139297843091367,1.0008507337631827,0.9999999999999989,6.0,6.0,6.0,6.0,0.932645971938933,0.965136574922047,0.9793233008320056,0.9864134343243426,0.9880578668802016,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7259980617457387,0.537174918077036,0.7262769554095398,0.906580503740871,0.8218148310515186,0.9064412866046312,0.9138811649991998,0.8341818228248865,0.9135450127060133,1.0010295860660128,1.0000000000000009,6.0,6.0,6.0,6.0,0.9267460744065084,0.9636143642213932,0.9794033380319048,0.9866133774117787,0.9894349209255254,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7448865423414835,0.5651377072875962,0.7454943257491841,0.9105205720115943,0.8302641560269234,0.9112457957419546,0.9168225971381965,0.8415040034591674,0.9174994605964928,1.0002169132375935,1.0000000000000007,6.0,6.0,6.0,6.0,0.9124786256331423,0.9603767505133074,0.9730004698212146,0.9799638480036432,0.9808123604523497,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7158923249001026,0.533007057815409,0.7236389368009716,0.8943224465992242,0.8219051036097322,0.9070058834734057,0.8926448813263517,0.8178627191042871,0.9045805587332397,0.9878224812746089,0.9999999999999987,6.0,6.0,6.0,6.0,0.9144722570564674,0.9521148258864859,0.9738963735695904,0.9829333000526342,0.9834118931536715,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7210682274955772,0.5293255322787456,0.7209855337590257,0.9052476725379806,0.8196408212431072,0.9053429733683871,0.9126453299837287,0.8327447510578538,0.9126381875709959,1.0009529519782343,1.0000000000000004,6.0,6.0,6.0,6.0,0.9188152941555507,0.9570923333317557,0.9796878775614798,0.9849071925661881,0.9872248844051117,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7597916217326747,0.5871929288650346,0.7597439834583088,0.9116021974618497,0.8313623397092011,0.9117220255854834,0.9070841756294814,0.823087489299069,0.9068290682184317,1.0005081680169727,0.9999999999999993,6.0,6.0,6.0,6.0,0.9304726917677664,0.9672825348735218,0.9819106394192902,0.9859502352565378,0.9896865750390482,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7196940451759694,0.5284814017230556,0.7195789424524354,0.9060354422725243,0.8209868434586753,0.9063641045273579,0.9076866224357317,0.8232179445913085,0.907514213912455,1.0010777146267626,0.9999999999999973,6.0,6.0,6.0,6.0,0.9091762739938248,0.9556653132352833,0.9790063182635399,0.9841735425294332,0.9876646853857907,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7052632472812859,0.5074062363439195,0.705218538744853,0.900051199431337,0.8102249844846486,0.9000938056628963,0.9127667893391028,0.8327400807547839,0.9126127708799883,1.0008412959149187,1.0000000000000009,6.0,6.0,6.0,6.0,0.9170892120592287,0.9606525070563262,0.9782628139874787,0.9806550270867789,0.9870115226425924,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7255569131496035,0.5363000397081393,0.7257318473677532,0.9055489445777379,0.8207655605500261,0.9057231312266357,0.9137346545409764,0.834798016625788,0.9137597096711058,1.0008742339293455,0.9999999999999987,6.0,6.0,6.0,6.0,0.9305178501613446,0.959194871116425,0.97950289768606,0.9821390518519886,0.9888452182495058,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7484131037336698,0.5699694695506033,0.7484695366013828,0.9137470301174015,0.8349477382506717,0.9134982090025432,0.9123263126256748,0.8322045032785605,0.9123937813758046,1.0009046748180337,1.0000000000000004,6.0,6.0,6.0,6.0,0.9203927902591555,0.9671683619331068,0.9818672132091927,0.9849936329689363,0.9918615874801281,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7253912162427665,0.536202415716554,0.7253410046583312,0.9081319719408245,0.8245946110396962,0.9081597179571735,0.9063005560331908,0.8209480012201429,0.9061890739806727,1.0011445164490558,0.9999999999999982,6.0,6.0,6.0,6.0,0.9163907414233032,0.9573150136673412,0.9760118071329943,0.9812210001190267,0.9872853620206171,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7264303992804527,0.5401582609458212,0.7270394331889252,0.9094005929781062,0.82860949599416,0.910095840379475,0.9145122943428986,0.8378657127713196,0.9153400662901402,1.0001034085417102,1.0000000000000004,6.0,6.0,6.0,6.0,0.9313759395814003,0.9697975826756917,0.9790211099759655,0.9834595313301435,0.9868970218886999,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7615560599761836,0.5901211502617346,0.7614345691318797,0.92028619965133,0.8469301093848381,0.9205873480941205,0.9330797107087494,0.8703756524772162,0.9331865523005579,1.0005914753846852,0.9999999999999994,6.0,6.0,6.0,6.0,0.9343558151687242,0.9758082992631125,0.9822255454852298,0.9882144708071354,0.9919868677073443,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7185985476331819,0.5267370063096759,0.7186987467156322,0.9057859148060906,0.8204572455477908,0.9058361703742919,0.9049230991085901,0.8187721971121765,0.9050219606494863,1.0007153914890956,0.9999999999999991,6.0,6.0,6.0,6.0,0.9201432094808378,0.9619694679453384,0.9749869550986707,0.9833711358513583,0.9886326108539911,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7341345590440039,0.5487741360385229,0.7339679256551107,0.9113514080583524,0.8306833560258267,0.9114509884192208,0.9065812598884757,0.8217747563778581,0.9070494102691725,1.001026717604002,0.9999999999999987,6.0,6.0,6.0,6.0,0.9203687036326255,0.9599718869872855,0.9764199176734577,0.9832184698653829,0.9872516740079278,"2-3, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7251925963197455,0.5374391471049437,0.7251795473129672,0.9150749591856548,0.837779051647283,0.9150798434396499,0.9118695821758611,0.8312548886001039,0.9120208683959741,1.0008248651092468,1.0000000000000009,6.0,6.0,6.0,6.0,0.9226835536147886,0.9516625724686362,0.9776348514681366,0.983561313480086,0.9867964555575078,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.730031891612833,0.5442417218206381,0.7304367134801222,0.9091008509214623,0.827048817424288,0.9091826384063776,0.9076194273390092,0.8236275858342034,0.9076128198297608,1.0008800248116323,1.0000000000000004,6.0,6.0,6.0,6.0,0.9257445755553145,0.9637337391678469,0.9831231024360737,0.9869173962902213,0.9891322833611376,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
6.0,0.7370164654018724,0.553739023312809,0.7369848634513966,0.9173557795397107,0.8417495969787568,0.9174267193817071,0.9255930491699789,0.8567581354191633,0.9258089930036393,1.0010566242184313,0.9999999999999996,6.0,6.0,6.0,6.0,0.9163347463214994,0.9651619366270803,0.9809059961207844,0.9864058134279751,0.991221565290756,"3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
