Label,Fidelity,Actions,Verbose Sequence
GHZ,0.49999999999952843,"[11.0, 12.0, 6.0, 17.0, 12.0, 11.0]","2-1, 2-3, 1-0, 3-4, 2-3, 2-1"
GHZ + noise,0.5000150943008235,"[11.0, 12.0, 6.0, 17.0, 12.0, 11.0]","2-1, 2-3, 1-0, 3-4, 2-3, 2-1"
GHZ + noise,0.2500078967970072,"[11.0, 12.0, 6.0, 17.0, 12.0, 11.0]","2-1, 2-3, 1-0, 3-4, 2-3, 2-1"
GHZ + noise,0.5000182334150074,"[11.0, 12.0, 6.0, 17.0, 12.0, 11.0]","2-1, 2-3, 1-0, 3-4, 2-3, 2-1"
GHZ + noise,0.500005974026877,"[11.0, 12.0, 6.0, 17.0, 12.0, 11.0]","2-1, 2-3, 1-0, 3-4, 2-3, 2-1"
GHZ + noise,0.5000148618133513,"[11.0, 12.0, 6.0, 17.0, 12.0, 11.0]","2-1, 2-3, 1-0, 3-4, 2-3, 2-1"
W,0.9123080612226835,"[11.0, 12.0, 6.0, 17.0, 12.0, 11.0]","2-1, 2-3, 1-0, 3-4, 2-3, 2-1"
W + noise,0.699280925024506,"[11.0, 12.0, 6.0, 17.0, 12.0, 11.0]","2-1, 2-3, 1-0, 3-4, 2-3, 2-1"
W + noise,0.8000157450881243,"[11.0, 12.0, 6.0, 17.0, 12.0, 11.0]","2-1, 2-3, 1-0, 3-4, 2-3, 2-1"
W + noise,0.9122848186178667,"[11.0, 12.0, 6.0, 11.0, 17.0, 12.0]","2-1, 2-3, 1-0, 2-1, 3-4, 2-3"
W + noise,0.9123131253820193,"[11.0, 12.0, 6.0, 17.0, 12.0, 11.0]","2-1, 2-3, 1-0, 3-4, 2-3, 2-1"
W + noise,0.912309131448867,"[11.0, 12.0, 6.0, 11.0, 17.0, 12.0]","2-1, 2-3, 1-0, 2-1, 3-4, 2-3"
