sequences,seq_str,occur,freq
"[7, 12, 2, 7, 17, 12, 0, 0, 0, 0, 0, 0]","1-2, 2-3, 0-1, 1-2, 3-4, 2-3",468,0.468
"[7, 12, 2, 17, 12, 7, 0, 0, 0, 0, 0, 0]","1-2, 2-3, 0-1, 3-4, 2-3, 1-2",326,0.326
"[7, 12, 2, 17, 7, 12, 0, 0, 0, 0, 0, 0]","1-2, 2-3, 0-1, 3-4, 1-2, 2-3",76,0.076
"[7, 2, 12, 7, 17, 12, 0, 0, 0, 0, 0, 0]","1-2, 0-1, 2-3, 1-2, 3-4, 2-3",62,0.062
"[7, 12, 2, 7, 12, 17, 0, 0, 0, 0, 0, 0]","1-2, 2-3, 0-1, 1-2, 2-3, 3-4",58,0.058
"[7, 2, 12, 7, 12, 17, 0, 0, 0, 0, 0, 0]","1-2, 0-1, 2-3, 1-2, 2-3, 3-4",5,0.005
"[7, 2, 12, 17, 7, 12, 0, 0, 0, 0, 0, 0]","1-2, 0-1, 2-3, 3-4, 1-2, 2-3",2,0.002
"[7, 12, 12, 17, 7, 12, 0, 0, 0, 0, 0, 0]","1-2, 2-3, 2-3, 3-4, 1-2, 2-3",1,0.001
"[7, 2, 12, 17, 12, 7, 0, 0, 0, 0, 0, 0]","1-2, 0-1, 2-3, 3-4, 2-3, 1-2",1,0.001
"[7, 12, 12, 17, 12, 7, 0, 0, 0, 0, 0, 0]","1-2, 2-3, 2-3, 3-4, 2-3, 1-2",1,0.001
