Label,Fidelity,Actions,Verbose Sequence
GHZ,0.5000001139843027,"[17.0, 7.0, 12.0, 7.0, 12.0, 17.0, 11.0, 12.0, 7.0, 6.0]","3-4, 1-2, 2-3, 1-2, 2-3, 3-4, 2-1, 2-3, 1-2, 1-0"
GHZ + noise,0.9999899779636446,"[17.0, 7.0, 12.0, 7.0, 12.0, 17.0, 11.0, 12.0, 7.0, 6.0]","3-4, 1-2, 2-3, 1-2, 2-3, 3-4, 2-1, 2-3, 1-2, 1-0"
GHZ + noise,0.4999953347716797,"[17.0, 7.0, 12.0, 7.0, 12.0, 17.0, 11.0, 12.0, 7.0, 6.0]","3-4, 1-2, 2-3, 1-2, 2-3, 3-4, 2-1, 2-3, 1-2, 1-0"
GHZ + noise,0.50002207917238,"[17.0, 7.0, 12.0, 7.0, 12.0, 17.0, 11.0, 12.0, 7.0, 6.0]","3-4, 1-2, 2-3, 1-2, 2-3, 3-4, 2-1, 2-3, 1-2, 1-0"
GHZ + noise,0.5000071748226065,"[17.0, 7.0, 12.0, 7.0, 12.0, 17.0, 11.0, 12.0, 7.0, 6.0]","3-4, 1-2, 2-3, 1-2, 2-3, 3-4, 2-1, 2-3, 1-2, 1-0"
GHZ + noise,0.999998786909275,"[17.0, 7.0, 12.0, 7.0, 12.0, 17.0, 11.0, 12.0, 7.0, 6.0]","3-4, 1-2, 2-3, 1-2, 2-3, 3-4, 2-1, 2-3, 1-2, 1-0"
W,0.9999999999986042,"[21.0, 7.0, 12.0, 7.0, 12.0, 17.0, 11.0, 12.0, 6.0, 11.0]","4-3, 1-2, 2-3, 1-2, 2-3, 3-4, 2-1, 2-3, 1-0, 2-1"
W + noise,0.9999777860555613,"[21.0, 7.0, 12.0, 7.0, 12.0, 17.0, 11.0, 12.0, 6.0, 11.0]","4-3, 1-2, 2-3, 1-2, 2-3, 3-4, 2-1, 2-3, 1-0, 2-1"
W + noise,0.999984717670148,"[21.0, 7.0, 12.0, 7.0, 12.0, 17.0, 11.0, 12.0, 7.0, 6.0]","4-3, 1-2, 2-3, 1-2, 2-3, 3-4, 2-1, 2-3, 1-2, 1-0"
W + noise,0.999954895165439,"[21.0, 7.0, 12.0, 7.0, 12.0, 17.0, 11.0, 12.0, 6.0, 7.0]","4-3, 1-2, 2-3, 1-2, 2-3, 3-4, 2-1, 2-3, 1-0, 1-2"
W + noise,1.0000100171621455,"[21.0, 7.0, 12.0, 7.0, 12.0, 17.0, 11.0, 12.0, 6.0, 11.0]","4-3, 1-2, 2-3, 1-2, 2-3, 3-4, 2-1, 2-3, 1-0, 2-1"
W + noise,1.0000127616219852,"[21.0, 7.0, 12.0, 7.0, 12.0, 17.0, 11.0, 12.0, 6.0, 11.0]","4-3, 1-2, 2-3, 1-2, 2-3, 3-4, 2-1, 2-3, 1-0, 2-1"
