sequences,seq_str,occur,freq
"[17, 7, 12, 7, 12, 17, 7, 12, 2, 7, 0, 0]","3-4, 1-2, 2-3, 1-2, 2-3, 3-4, 1-2, 2-3, 0-1, 1-2",426,0.426
"[17, 7, 12, 7, 12, 17, 7, 12, 7, 2, 0, 0]","3-4, 1-2, 2-3, 1-2, 2-3, 3-4, 1-2, 2-3, 1-2, 0-1",413,0.413
"[7, 17, 12, 7, 12, 17, 7, 12, 2, 7, 0, 0]","1-2, 3-4, 2-3, 1-2, 2-3, 3-4, 1-2, 2-3, 0-1, 1-2",77,0.077
"[7, 17, 12, 7, 12, 17, 7, 12, 7, 2, 0, 0]","1-2, 3-4, 2-3, 1-2, 2-3, 3-4, 1-2, 2-3, 1-2, 0-1",64,0.064
"[7, 17, 12, 7, 12, 7, 17, 12, 7, 2, 0, 0]","1-2, 3-4, 2-3, 1-2, 2-3, 1-2, 3-4, 2-3, 1-2, 0-1",7,0.007
"[12, 7, 12, 7, 12, 17, 7, 12, 2, 7, 0, 0]","2-3, 1-2, 2-3, 1-2, 2-3, 3-4, 1-2, 2-3, 0-1, 1-2",4,0.004
"[17, 7, 12, 7, 12, 7, 17, 12, 2, 7, 0, 0]","3-4, 1-2, 2-3, 1-2, 2-3, 1-2, 3-4, 2-3, 0-1, 1-2",2,0.002
"[17, 7, 12, 7, 12, 7, 17, 12, 7, 2, 0, 0]","3-4, 1-2, 2-3, 1-2, 2-3, 1-2, 3-4, 2-3, 1-2, 0-1",2,0.002
"[12, 17, 12, 7, 12, 17, 7, 12, 2, 7, 0, 0]","2-3, 3-4, 2-3, 1-2, 2-3, 3-4, 1-2, 2-3, 0-1, 1-2",2,0.002
"[7, 12, 12, 7, 12, 17, 7, 12, 7, 2, 0, 0]","1-2, 2-3, 2-3, 1-2, 2-3, 3-4, 1-2, 2-3, 1-2, 0-1",1,0.001
"[17, 12, 7, 7, 12, 17, 7, 12, 7, 2, 0, 0]","3-4, 2-3, 1-2, 1-2, 2-3, 3-4, 1-2, 2-3, 1-2, 0-1",1,0.001
"[12, 7, 12, 7, 12, 17, 7, 12, 7, 2, 0, 0]","2-3, 1-2, 2-3, 1-2, 2-3, 3-4, 1-2, 2-3, 1-2, 0-1",1,0.001
