Label,Fidelity,Actions,Verbose Sequence
GHZ,0.4999999993576219,"[19.0, 14.0, 19.0, 6.0, 6.0, 19.0, 6.0, 19.0, 14.0, 10.0, 6.0, 14.0]","4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
GHZ + noise,1.0000241427474608,"[19.0, 14.0, 19.0, 6.0, 6.0, 19.0, 6.0, 19.0, 14.0, 10.0, 6.0, 14.0]","4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
GHZ + noise,0.999995326214073,"[19.0, 14.0, 19.0, 6.0, 6.0, 19.0, 6.0, 19.0, 14.0, 10.0, 6.0, 14.0]","4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
GHZ + noise,0.9999922414324302,"[19.0, 14.0, 19.0, 6.0, 6.0, 19.0, 6.0, 19.0, 14.0, 10.0, 6.0, 14.0]","4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
GHZ + noise,0.5000001025413741,"[19.0, 14.0, 19.0, 6.0, 6.0, 19.0, 6.0, 19.0, 14.0, 10.0, 6.0, 14.0]","4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
GHZ + noise,0.99997286259253,"[19.0, 14.0, 19.0, 6.0, 6.0, 19.0, 6.0, 19.0, 14.0, 10.0, 6.0, 14.0]","4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
W,0.9999999999969411,"[19.0, 14.0, 19.0, 6.0, 6.0, 19.0, 6.0, 19.0, 14.0, 10.0, 6.0, 14.0]","4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
W + noise,1.0000179054517848,"[19.0, 14.0, 19.0, 6.0, 6.0, 19.0, 6.0, 19.0, 14.0, 10.0, 6.0, 14.0]","4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
W + noise,0.99999604366949,"[19.0, 14.0, 19.0, 6.0, 6.0, 19.0, 6.0, 19.0, 14.0, 10.0, 6.0, 14.0]","4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
W + noise,1.0000264704725694,"[19.0, 14.0, 19.0, 6.0, 6.0, 19.0, 6.0, 19.0, 14.0, 10.0, 6.0, 14.0]","4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
W + noise,1.0000222766647255,"[19.0, 14.0, 19.0, 6.0, 6.0, 19.0, 6.0, 19.0, 14.0, 10.0, 6.0, 14.0]","4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
W + noise,0.999989822451968,"[19.0, 14.0, 19.0, 6.0, 6.0, 19.0, 6.0, 19.0, 14.0, 10.0, 6.0, 14.0]","4-1, 3-0, 4-1, 1-0, 1-0, 4-1, 1-0, 4-1, 3-0, 2-0, 1-0, 3-0"
