sequences,seq_str,occur,freq
"[9, 4, 9, 2, 2, 9, 2, 9, 4, 3, 2, 4, 0, 0, 0]","1-4, 0-3, 1-4, 0-1, 0-1, 1-4, 0-1, 1-4, 0-3, 0-2, 0-1, 0-3",802,0.802
"[3, 4, 9, 2, 2, 9, 2, 9, 4, 3, 2, 4, 0, 0, 0]","0-2, 0-3, 1-4, 0-1, 0-1, 1-4, 0-1, 1-4, 0-3, 0-2, 0-1, 0-3",57,0.057
"[3, 3, 9, 2, 2, 9, 2, 9, 4, 3, 2, 4, 0, 0, 0]","0-2, 0-2, 1-4, 0-1, 0-1, 1-4, 0-1, 1-4, 0-3, 0-2, 0-1, 0-3",33,0.033
"[9, 4, 9, 2, 2, 9, 9, 3, 2, 3, 2, 4, 0, 0, 0]","1-4, 0-3, 1-4, 0-1, 0-1, 1-4, 1-4, 0-2, 0-1, 0-2, 0-1, 0-3",21,0.021
"[4, 3, 9, 2, 2, 9, 2, 9, 4, 3, 2, 4, 0, 0, 0]","0-3, 0-2, 1-4, 0-1, 0-1, 1-4, 0-1, 1-4, 0-3, 0-2, 0-1, 0-3",16,0.016
"[9, 4, 9, 2, 2, 9, 9, 4, 2, 3, 2, 4, 0, 0, 0]","1-4, 0-3, 1-4, 0-1, 0-1, 1-4, 1-4, 0-3, 0-1, 0-2, 0-1, 0-3",14,0.014
"[4, 4, 9, 2, 2, 9, 2, 9, 4, 3, 2, 4, 0, 0, 0]","0-3, 0-3, 1-4, 0-1, 0-1, 1-4, 0-1, 1-4, 0-3, 0-2, 0-1, 0-3",13,0.013
"[3, 3, 9, 2, 2, 9, 9, 4, 2, 3, 2, 4, 0, 0, 0]","0-2, 0-2, 1-4, 0-1, 0-1, 1-4, 1-4, 0-3, 0-1, 0-2, 0-1, 0-3",9,0.009
"[4, 9, 9, 2, 2, 9, 2, 9, 4, 3, 2, 4, 0, 0, 0]","0-3, 1-4, 1-4, 0-1, 0-1, 1-4, 0-1, 1-4, 0-3, 0-2, 0-1, 0-3",9,0.009
"[3, 4, 9, 2, 2, 9, 9, 4, 2, 3, 2, 4, 0, 0, 0]","0-2, 0-3, 1-4, 0-1, 0-1, 1-4, 1-4, 0-3, 0-1, 0-2, 0-1, 0-3",7,0.007
"[3, 9, 9, 2, 2, 9, 2, 9, 4, 3, 2, 4, 0, 0, 0]","0-2, 1-4, 1-4, 0-1, 0-1, 1-4, 0-1, 1-4, 0-3, 0-2, 0-1, 0-3",5,0.005
"[4, 9, 9, 2, 2, 9, 9, 4, 2, 3, 2, 4, 0, 0, 0]","0-3, 1-4, 1-4, 0-1, 0-1, 1-4, 1-4, 0-3, 0-1, 0-2, 0-1, 0-3",4,0.004
"[4, 4, 9, 2, 2, 9, 9, 4, 2, 3, 2, 4, 0, 0, 0]","0-3, 0-3, 1-4, 0-1, 0-1, 1-4, 1-4, 0-3, 0-1, 0-2, 0-1, 0-3",4,0.004
"[3, 9, 9, 2, 2, 9, 9, 4, 2, 3, 2, 4, 0, 0, 0]","0-2, 1-4, 1-4, 0-1, 0-1, 1-4, 1-4, 0-3, 0-1, 0-2, 0-1, 0-3",1,0.001
"[4, 3, 9, 2, 2, 9, 9, 4, 2, 3, 2, 4, 0, 0, 0]","0-3, 0-2, 1-4, 0-1, 0-1, 1-4, 1-4, 0-3, 0-1, 0-2, 0-1, 0-3",1,0.001
"[4, 9, 9, 2, 2, 9, 9, 3, 2, 3, 2, 4, 0, 0, 0]","0-3, 1-4, 1-4, 0-1, 0-1, 1-4, 1-4, 0-2, 0-1, 0-2, 0-1, 0-3",1,0.001
"[9, 2, 9, 2, 2, 9, 9, 4, 2, 3, 2, 4, 0, 0, 0]","1-4, 0-1, 1-4, 0-1, 0-1, 1-4, 1-4, 0-3, 0-1, 0-2, 0-1, 0-3",1,0.001
"[3, 4, 9, 2, 2, 9, 9, 3, 2, 3, 2, 4, 0, 0, 0]","0-2, 0-3, 1-4, 0-1, 0-1, 1-4, 1-4, 0-2, 0-1, 0-2, 0-1, 0-3",1,0.001
"[9, 2, 9, 2, 2, 9, 2, 9, 4, 3, 2, 4, 0, 0, 0]","1-4, 0-1, 1-4, 0-1, 0-1, 1-4, 0-1, 1-4, 0-3, 0-2, 0-1, 0-3",1,0.001
