sequences,seq_str,occur,freq
"[7, 12, 7, 12, 2, 7, 2, 17, 12, 17, 12, 7, 0, 0, 0]","1-2, 2-3, 1-2, 2-3, 0-1, 1-2, 0-1, 3-4, 2-3, 3-4, 2-3, 1-2",204,0.204
"[7, 12, 12, 7, 2, 7, 2, 17, 12, 17, 12, 7, 0, 0, 0]","1-2, 2-3, 2-3, 1-2, 0-1, 1-2, 0-1, 3-4, 2-3, 3-4, 2-3, 1-2",115,0.115
"[7, 12, 7, 2, 12, 7, 2, 17, 12, 17, 12, 7, 0, 0, 0]","1-2, 2-3, 1-2, 0-1, 2-3, 1-2, 0-1, 3-4, 2-3, 3-4, 2-3, 1-2",56,0.056
"[12, 12, 7, 12, 2, 7, 2, 17, 12, 17, 12, 7, 0, 0, 0]","2-3, 2-3, 1-2, 2-3, 0-1, 1-2, 0-1, 3-4, 2-3, 3-4, 2-3, 1-2",44,0.044
"[12, 7, 12, 7, 2, 7, 2, 17, 12, 17, 12, 7, 0, 0, 0]","2-3, 1-2, 2-3, 1-2, 0-1, 1-2, 0-1, 3-4, 2-3, 3-4, 2-3, 1-2",31,0.031
"[12, 7, 7, 12, 2, 7, 2, 17, 12, 17, 12, 7, 0, 0, 0]","2-3, 1-2, 1-2, 2-3, 0-1, 1-2, 0-1, 3-4, 2-3, 3-4, 2-3, 1-2",29,0.029
"[12, 12, 7, 2, 12, 7, 2, 17, 12, 17, 12, 7, 0, 0, 0]","2-3, 2-3, 1-2, 0-1, 2-3, 1-2, 0-1, 3-4, 2-3, 3-4, 2-3, 1-2",26,0.026
"[7, 12, 7, 12, 2, 7, 2, 17, 12, 17, 7, 12, 0, 0, 0]","1-2, 2-3, 1-2, 2-3, 0-1, 1-2, 0-1, 3-4, 2-3, 3-4, 1-2, 2-3",24,0.024
"[7, 12, 7, 12, 2, 2, 7, 2, 12, 17, 12, 7, 0, 0, 0]","1-2, 2-3, 1-2, 2-3, 0-1, 0-1, 1-2, 0-1, 2-3, 3-4, 2-3, 1-2",22,0.022
"[7, 12, 2, 7, 2, 7, 2, 17, 12, 17, 12, 7, 0, 0, 0]","1-2, 2-3, 0-1, 1-2, 0-1, 1-2, 0-1, 3-4, 2-3, 3-4, 2-3, 1-2",16,0.016
"[7, 12, 7, 12, 2, 7, 2, 12, 12, 17, 12, 7, 0, 0, 0]","1-2, 2-3, 1-2, 2-3, 0-1, 1-2, 0-1, 2-3, 2-3, 3-4, 2-3, 1-2",14,0.014
