,sequence,verbose,loss,fid
6295,"(7, 6, 3, 7, 6)","1-3, 1-2, 0-2, 1-3, 1-2",1.1611004665611892e-13,0.9999999999998835
4908,"(6, 4, 2, 7, 6)","1-2, 0-3, 0-1, 1-3, 1-2",1.1783737295083167e-13,0.9999999999998817
3060,"(3, 7, 4, 7, 3)","0-2, 1-3, 0-3, 1-3, 0-2",1.1959353113445923e-13,0.9999999999998805
4997,"(6, 4, 6, 3, 4)","1-2, 0-3, 1-2, 0-2, 0-3",1.2043040521129186e-13,0.9999999999998793
5370,"(6, 7, 6, 2, 4)","1-2, 1-3, 1-2, 0-1, 0-3",1.2111547273253195e-13,0.9999999999998789
7828,"(10, 10, 4, 7, 4)","2-3, 2-3, 0-3, 1-3, 0-3",1.215875159701406e-13,0.9999999999998778
6449,"(7, 7, 3, 2, 3)","1-3, 1-3, 0-2, 0-1, 0-2",1.2349196227097236e-13,0.9999999999998768
5555,"(6, 10, 4, 10, 7)","1-2, 2-3, 0-3, 2-3, 1-3",1.243181783596104e-13,0.9999999999998764
7878,"(10, 10, 7, 4, 7)","2-3, 2-3, 1-3, 0-3, 1-3",1.2409895869191338e-13,0.9999999999998763
6565,"(7, 7, 10, 3, 4)","1-3, 1-3, 2-3, 0-2, 0-3",1.2339108406254193e-13,0.9999999999998761
4384,"(4, 10, 4, 3, 6)","0-3, 2-3, 0-3, 0-2, 1-2",1.2492841755414377e-13,0.9999999999998754
3434,"(4, 2, 4, 3, 2)","0-3, 0-1, 0-3, 0-2, 0-1",1.25084792475142e-13,0.9999999999998745
7153,"(10, 3, 10, 2, 4)","2-3, 0-2, 2-3, 0-1, 0-3",1.2610187953017272e-13,0.9999999999998735
4972,"(6, 4, 4, 6, 3)","1-2, 0-3, 0-3, 1-2, 0-2",1.3026471661425963e-13,0.9999999999998697
4971,"(6, 4, 4, 6, 2)","1-2, 0-3, 0-3, 1-2, 0-1",1.3078556887148373e-13,0.9999999999998694
7771,"(10, 10, 2, 7, 4)","2-3, 2-3, 0-1, 1-3, 0-3",1.336590414053721e-13,0.9999999999998667
3703,"(4, 3, 7, 6, 4)","0-3, 0-2, 1-3, 1-2, 0-3",1.3456216012356702e-13,0.9999999999998659
7530,"(10, 6, 10, 2, 3)","2-3, 1-2, 2-3, 0-1, 0-2",1.358987882217927e-13,0.9999999999998641
3095,"(3, 7, 6, 7, 2)","0-2, 1-3, 1-2, 1-3, 0-1",1.4116845557204237e-13,0.9999999999998589
4455,"(4, 10, 7, 4, 6)","0-3, 2-3, 1-3, 0-3, 1-2",1.4217191083720466e-13,0.9999999999998577
5147,"(6, 6, 3, 10, 4)","1-2, 1-2, 0-2, 2-3, 0-3",1.4439184435928807e-13,0.9999999999998557
6177,"(7, 4, 7, 3, 10)","1-3, 0-3, 1-3, 0-2, 2-3",1.4430691815189385e-13,0.9999999999998552
4755,"(6, 3, 4, 3, 6)","1-2, 0-2, 0-3, 0-2, 1-2",1.4493487043400402e-13,0.9999999999998551
5222,"(6, 6, 7, 4, 7)","1-2, 1-2, 1-3, 0-3, 1-3",1.4535372725586364e-13,0.9999999999998547
4000,"(4, 6, 4, 6, 3)","0-3, 1-2, 0-3, 1-2, 0-2",1.4539678483648368e-13,0.9999999999998546
2583,"(3, 3, 10, 10, 6)","0-2, 0-2, 2-3, 2-3, 1-2",1.468810758862991e-13,0.9999999999998525
3313,"(3, 10, 7, 3, 4)","0-2, 2-3, 1-3, 0-2, 0-3",1.4800120777770252e-13,0.9999999999998522
1629,"(2, 4, 10, 7, 4)","0-1, 0-3, 2-3, 1-3, 0-3",1.490019816455394e-13,0.9999999999998511
1997,"(2, 7, 10, 4, 7)","0-1, 1-3, 2-3, 0-3, 1-3",1.5051852975239256e-13,0.9999999999998492
7769,"(10, 10, 2, 7, 2)","2-3, 2-3, 0-1, 1-3, 0-1",1.5261019997779964e-13,0.9999999999998483
6292,"(7, 6, 3, 7, 2)","1-3, 1-2, 0-2, 1-3, 0-1",1.516279954561397e-13,0.999999999999848
5852,"(7, 3, 2, 7, 3)","1-3, 0-2, 0-1, 1-3, 0-2",1.5845141844504367e-13,0.9999999999998415
1153,"(2, 2, 4, 4, 3)","0-1, 0-1, 0-3, 0-3, 0-2",1.6028752265217993e-13,0.9999999999998407
2477,"(3, 3, 4, 4, 2)","0-2, 0-2, 0-3, 0-3, 0-1",1.594266015033072e-13,0.9999999999998406
4028,"(4, 6, 6, 3, 10)","0-3, 1-2, 1-2, 0-2, 2-3",1.6386784846254363e-13,0.9999999999998364
3124,"(3, 7, 7, 4, 10)","0-2, 1-3, 1-3, 0-3, 2-3",1.6395743035678107e-13,0.9999999999998357
3460,"(4, 2, 6, 2, 4)","0-3, 0-1, 1-2, 0-1, 0-3",1.7097717346479234e-13,0.9999999999998285
4932,"(6, 4, 3, 4, 6)","1-2, 0-3, 0-2, 0-3, 1-2",1.731505917963417e-13,0.9999999999998265
2044,"(2, 10, 2, 7, 6)","0-1, 2-3, 0-1, 1-3, 1-2",1.738323860414792e-13,0.9999999999998263
6935,"(10, 2, 7, 6, 2)","2-3, 0-1, 1-3, 1-2, 0-1",1.7406510454037874e-13,0.9999999999998255
3238,"(3, 10, 3, 7, 10)","0-2, 2-3, 0-2, 1-3, 2-3",1.746313470843297e-13,0.9999999999998255
3103,"(3, 7, 6, 10, 4)","0-2, 1-3, 1-2, 2-3, 0-3",1.740313044664672e-13,0.9999999999998254
2075,"(2, 10, 3, 6, 7)","0-1, 2-3, 0-2, 1-2, 1-3",1.747652017517302e-13,0.9999999999998253
6936,"(10, 2, 7, 6, 3)","2-3, 0-1, 1-3, 1-2, 0-2",1.750200145083874e-13,0.9999999999998248
6955,"(10, 2, 10, 2, 4)","2-3, 0-1, 2-3, 0-1, 0-3",1.7526216155403182e-13,0.9999999999998246
