sequences,seq_str,occur,freq
"[2, 6, 10, 6, 2, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3, 1-2, 0-1",796,0.796
"[10, 6, 10, 6, 2, 0, 0, 0, 0, 0]","2-3, 1-2, 2-3, 1-2, 0-1",54,0.054
"[6, 6, 10, 6, 2, 0, 0, 0, 0, 0]","1-2, 1-2, 2-3, 1-2, 0-1",30,0.03
"[2, 6, 10, 2, 6, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3, 0-1, 1-2",17,0.017
"[2, 6, 10, 6, 2, 6, 0, 0, 0, 0]","0-1, 1-2, 2-3, 1-2, 0-1, 1-2",17,0.017
"[2, 10, 6, 10, 6, 2, 0, 0, 0, 0]","0-1, 2-3, 1-2, 2-3, 1-2, 0-1",10,0.01
"[6, 2, 6, 10, 6, 2, 0, 0, 0, 0]","1-2, 0-1, 1-2, 2-3, 1-2, 0-1",10,0.01
"[2, 2, 6, 10, 6, 2, 0, 0, 0, 0]","0-1, 0-1, 1-2, 2-3, 1-2, 0-1",6,0.006
"[6, 6, 10, 6, 2, 6, 0, 0, 0, 0]","1-2, 1-2, 2-3, 1-2, 0-1, 1-2",5,0.005
"[6, 6, 10, 6, 2, 2, 0, 0, 0, 0]","1-2, 1-2, 2-3, 1-2, 0-1, 0-1",4,0.004
"[6, 2, 6, 10, 6, 0, 0, 0, 0, 0]","1-2, 0-1, 1-2, 2-3, 1-2",3,0.003
"[2, 6, 6, 10, 2, 0, 0, 0, 0, 0]","0-1, 1-2, 1-2, 2-3, 0-1",2,0.002
"[6, 6, 6, 10, 6, 2, 0, 0, 0, 0]","1-2, 1-2, 1-2, 2-3, 1-2, 0-1",2,0.002
"[2, 6, 10, 6, 2, 2, 0, 0, 0, 0]","0-1, 1-2, 2-3, 1-2, 0-1, 0-1",2,0.002
"[2, 6, 6, 10, 6, 2, 0, 0, 0, 0]","0-1, 1-2, 1-2, 2-3, 1-2, 0-1",2,0.002
"[2, 10, 6, 10, 2, 6, 0, 0, 0, 0]","0-1, 2-3, 1-2, 2-3, 0-1, 1-2",2,0.002
"[2, 6, 10, 6, 0, 0, 0, 0, 0, 0]","0-1, 1-2, 2-3, 1-2",2,0.002
"[10, 6, 10, 2, 6, 0, 0, 0, 0, 0]","2-3, 1-2, 2-3, 0-1, 1-2",2,0.002
"[2, 2, 10, 6, 0, 0, 0, 0, 0, 0]","0-1, 0-1, 2-3, 1-2",2,0.002
"[2, 2, 10, 6, 2, 0, 0, 0, 0, 0]","0-1, 0-1, 2-3, 1-2, 0-1",1,0.001
"[10, 6, 6, 10, 6, 2, 0, 0, 0, 0]","2-3, 1-2, 1-2, 2-3, 1-2, 0-1",1,0.001
"[6, 2, 6, 10, 2, 6, 0, 0, 0, 0]","1-2, 0-1, 1-2, 2-3, 0-1, 1-2",1,0.001
"[2, 10, 6, 2, 10, 0, 0, 0, 0, 0]","0-1, 2-3, 1-2, 0-1, 2-3",1,0.001
"[2, 10, 2, 6, 10, 0, 0, 0, 0, 0]","0-1, 2-3, 0-1, 1-2, 2-3",1,0.001
"[6, 10, 6, 10, 6, 2, 0, 0, 0, 0]","1-2, 2-3, 1-2, 2-3, 1-2, 0-1",1,0.001
"[10, 6, 2, 6, 0, 0, 0, 0, 0, 0]","2-3, 1-2, 0-1, 1-2",1,0.001
"[10, 10, 2, 10, 6, 2, 10, 6, 6, 0]","2-3, 2-3, 0-1, 2-3, 1-2, 0-1, 2-3, 1-2, 1-2",1,0.001
"[6, 6, 10, 2, 6, 6, 6, 0, 0, 0]","1-2, 1-2, 2-3, 0-1, 1-2, 1-2, 1-2",1,0.001
"[2, 10, 2, 6, 10, 6, 0, 0, 0, 0]","0-1, 2-3, 0-1, 1-2, 2-3, 1-2",1,0.001
"[2, 2, 6, 10, 6, 0, 0, 0, 0, 0]","0-1, 0-1, 1-2, 2-3, 1-2",1,0.001
"[2, 10, 2, 6, 2, 10, 0, 0, 0, 0]","0-1, 2-3, 0-1, 1-2, 0-1, 2-3",1,0.001
"[2, 6, 10, 6, 2, 10, 0, 0, 0, 0]","0-1, 1-2, 2-3, 1-2, 0-1, 2-3",1,0.001
"[2, 6, 6, 6, 2, 10, 0, 0, 0, 0]","0-1, 1-2, 1-2, 1-2, 0-1, 2-3",1,0.001
"[2, 2, 10, 10, 6, 0, 0, 0, 0, 0]","0-1, 0-1, 2-3, 2-3, 1-2",1,0.001
"[6, 10, 2, 6, 0, 0, 0, 0, 0, 0]","1-2, 2-3, 0-1, 1-2",1,0.001
"[2, 10, 6, 10, 6, 0, 0, 0, 0, 0]","0-1, 2-3, 1-2, 2-3, 1-2",1,0.001
"[6, 10, 2, 6, 2, 0, 0, 0, 0, 0]","1-2, 2-3, 0-1, 1-2, 0-1",1,0.001
