,State,0,1,2,3,4,5,6,7,8
0,GHZ,0.7889159259253072,6.924814455189221e-08,0.845737950942433,-0.7679841888027563,0.3264880715877361,-0.5000004335434743,0.4950931077969116,-0.7594639201956874,-0.8660117759832922
1,GHZ,-0.9999928499087365,0.35214940624536456,-0.5000006416727709,0.9999811509584223,0.9566845169344173,-0.8521548145115638,-0.5198032357094875,0.019785690686191477,-0.5433069970763469
2,GHZ,0.4894647642613658,-0.4999939321296054,-4.782594348009578e-05,-0.4910490810137331,-0.49995131925461567,-0.2759241165445363,-1.036133190089168e-05,0.9861717178433927,-0.7760689037039679
3,GHZ,0.2878064565461404,0.499998313163457,-0.99999429012315,0.5971690507300826,-0.49999344396923884,0.6500364250373826,2.6012620981674672e-06,-0.7697393503289127,0.11616426008015605
4,GHZ,0.49999973506902506,0.5000042563346696,-0.45587404139211873,-0.0255564902344787,-0.04412746391508904,-6.430303624682665e-06,0.999996876067307,-0.5255643792323426,0.5000020378359693
5,GHZ,0.3711305122630954,-0.5000000838123995,-0.9999965464004563,-0.8689229237045508,-0.4999997579660933,-0.05423477518850617,-1.4606406981370094e-05,-0.3800777609695536,0.3607694716896248
6,W,-0.9030661598151457,0.9999999770653805,0.8597685698502274,0.7070427791926797,0.9072727839756475,-0.03502827696979198,0.04540021620371659,0.3984739427479195,-0.2345999093822253
7,W,-8.678875019963045e-05,2.2279837745142572e-05,0.00011012891392070337,-0.09938369100131801,-9.545104035303566e-05,-0.33196614616156517,3.7876514152466426e-05,-0.32518218510646385,-0.21439481475722322
8,W,-0.08681512390326383,-6.055621616745039e-06,0.12645918446742613,-0.22231710656349776,-0.08376181731212837,-0.46500522141388007,-0.9588498837000914,0.7288838855254398,0.8762308066741835
9,W,-0.002848283158592299,-4.350046311343701e-06,0.004295168950453632,-0.06964680031822469,-0.002870856698450768,-0.30563506229667725,0.0014350413508044254,-0.3442158020959653,-0.22745401155318903
10,W,0.00018220112140472972,-8.662426812953063e-06,-0.0002615930209643215,-0.015022947603658241,0.00017814782578795725,-0.2614016644880118,-8.581253920230673e-05,-0.38126334050945343,-0.24601166415763517
11,W,-0.05781999111688593,-6.55498780047476e-06,0.08559451995361052,-0.5258328612850421,-0.056900004209227875,0.12327067185968946,0.028232737231573216,0.28430561137941385,0.16216445082005632
