N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,labels
3.0,0.7481932948661132,0.5729906577746696,0.748193295049343,0.9528940551821851,0.9085834887711484,0.9528940558743545,0.9539691121282095,0.910434501575425,0.9539691124209302,0.9999999999998688,1.0000000000000002,3.0,3.0,3.0,3.0,GHZ
3.0,0.7408886209106154,0.5599725836626128,0.7408514516215301,0.9528216185455683,0.9084014094783448,0.9527903615971578,0.9547357582498313,0.9119007542752751,0.9547074237014004,1.0000202567161907,0.9999999999999982,3.0,3.0,3.0,3.0,GHZ + noise
3.0,0.7513214232142699,0.5766603973485636,0.7509565699331346,0.9531653422822578,0.9085775853151974,0.9528819224430687,0.9543529400167386,0.910427343919594,0.9539630022759578,0.9999844027583054,1.0000000000000018,3.0,3.0,3.0,3.0,GHZ + noise
3.0,0.7511402274021753,0.5772127189783497,0.7511289752475799,0.9529608659585687,0.9080849423691947,0.9526647463976969,0.9541412771969698,0.9101879812190274,0.9538399706078733,1.0000067984882193,0.9999999999999998,3.0,3.0,3.0,3.0,GHZ + noise
3.0,0.7526596400042523,0.579237903071605,0.7526449838558285,0.9567283688387936,0.9145751693220512,0.9560179444512066,0.9565996430350772,0.9144911599817631,0.9560509593393969,1.0000124756568682,0.9999999999999993,3.0,3.0,3.0,3.0,GHZ + noise
3.0,0.7507509300113444,0.5756892954242866,0.7502725362930903,0.953216543241495,0.9085923864197194,0.9529089344808233,0.9551758517567769,0.9119422408877871,0.9547332127882604,1.0000106436879368,1.0000000000000007,3.0,3.0,3.0,3.0,GHZ + noise
3.0,0.7751327139807758,0.6157750103644773,0.7751327233704437,0.9562272360129664,0.9150569196692069,0.9562272366825575,0.9578110888154603,0.9178499323990362,0.9578110913789689,0.9999999999985915,1.0000000000000002,3.0,3.0,3.0,3.0,W
3.0,0.7817766672302825,0.6242305584927104,0.7817543326023821,0.9612362724294761,0.9242894741680912,0.9611246672853142,0.9600146859472779,0.921620947640805,0.9597987794733416,0.9999929717394251,0.9999999999999996,3.0,3.0,3.0,3.0,W + noise
3.0,0.7842866531010805,0.6275038653401526,0.7839557595092639,0.9621585556685781,0.926032297370815,0.9620003760527466,0.9584587473501754,0.9184532276707797,0.9581204351508655,1.0000251165220795,1.0000000000000013,3.0,3.0,3.0,3.0,W + noise
3.0,0.7748564743204509,0.61490540439738,0.7747669898082612,0.9574288606458174,0.9166465122757698,0.9570633594697981,0.9569010485276063,0.9160387818235745,0.9568660822643116,1.000011422750838,1.0000000000000007,3.0,3.0,3.0,3.0,W + noise
3.0,0.7801848508075903,0.621556986727768,0.7798095648402392,0.9615454126354923,0.9243146965714804,0.9611373834620742,0.9576681731641884,0.9166655032160367,0.9571870248004671,1.0000295385764382,1.0000000000000002,3.0,3.0,3.0,3.0,W + noise
3.0,0.7838695103426376,0.6268050388093075,0.7834257638337698,0.9596275475290713,0.9208945193864639,0.9593217675563281,0.9572986638763423,0.9164747519098901,0.9570867241167957,1.000018151888967,1.0000000000000009,3.0,3.0,3.0,3.0,W + noise
