N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho
8.0,0.3223718134784933,0.17160699748023234,0.3882245545651115,0.4566097803378522,0.31767883345240994,0.5515380192211945,0.5012727223127268,0.3717007233224612,0.6029665084120366,0.8300700228104242,0.9999999999999987,14.0,14.0,14.0,14.0
8.0,0.3480436709235611,0.1806698315665842,0.3995078829108534,0.48954677902915367,0.3309550366559991,0.5642806043350532,0.4546622919927349,0.29111191331904585,0.5235993845168866,0.8666812570571045,0.9999999999999994,14.0,14.0,14.0,14.0
8.0,0.32305856132484856,0.1682406923053373,0.38422822344080476,0.4630513912881982,0.3185620569186093,0.5528588638490011,0.4220777788222549,0.2700220289467501,0.5033735738609114,0.8351165391420184,1.0000000000000022,14.0,14.0,14.0,14.0
8.0,0.30891557766822986,0.16972066046733966,0.3834299173098836,0.4328965455461301,0.30590370595127214,0.5400273366828316,0.4241153547579505,0.2927051833115376,0.5282689094247861,0.8016571070487819,1.0000000000000009,14.0,14.0,14.0,14.0
8.0,0.33356389354617144,0.1643360214881152,0.3790390387190539,0.4904909581230388,0.3235812094023385,0.5573709089503551,0.4835487977705064,0.3136962743201383,0.5498995801139861,0.877726369091094,0.9999999999999992,14.0,14.0,14.0,14.0
8.0,0.3064884687736811,0.165475165100272,0.38074594395708694,0.43189243959241735,0.30480500363585167,0.5396952860771314,0.467114977669011,0.35068930410354926,0.582859929779596,0.8008460113537024,1.0000000000000007,14.0,14.0,14.0,14.0
8.0,0.3160881715102029,0.16164424957587548,0.3763196403368372,0.4564108703392855,0.3090827568001878,0.544000216055478,0.4662363268943711,0.32266308566186475,0.5564188799373095,0.8354073310845082,0.9999999999999971,14.0,14.0,14.0,14.0
8.0,0.32133258982072277,0.15914438150448668,0.373379292765474,0.4555931403960894,0.2954376598998916,0.5320835966986756,0.41535056761050976,0.2501963399199528,0.4865976915987754,0.8515287966725749,1.0000000000000007,14.0,14.0,14.0,14.0
8.0,0.34905659589362314,0.1823117145153123,0.40100979073577814,0.48943965949290347,0.32972705257077023,0.5621280226036112,0.45182588295719583,0.2867075092067347,0.5190191868036108,0.8695927657283453,1.0000000000000018,14.0,14.0,14.0,14.0
8.0,0.32670153753849696,0.16475582331386057,0.38010583964090294,0.4641241866808248,0.30693005530733763,0.5420040341964523,0.45500039272240966,0.29387912770184277,0.5306340072558224,0.8554243378639064,1.0000000000000013,14.0,14.0,14.0,14.0
8.0,0.3402195833142786,0.19519120703614684,0.4135363809795257,0.45973724054871257,0.33070850573796784,0.5602064689530785,0.46470745345919073,0.33617472207803195,0.5664273982863379,0.8197897638510818,1.0000000000000018,14.0,14.0,14.0,14.0
8.0,0.3131309235539979,0.17512100628961222,0.3934759801819576,0.44015799620579327,0.3224087663289935,0.5557503599535512,0.4572818056578275,0.34545679255313844,0.5783544618432288,0.7873915942895725,1.0000000000000002,14.0,14.0,14.0,14.0
8.0,0.3500676658919302,0.17985382408892064,0.3984348992902236,0.47722758474777643,0.31108012926854045,0.5448715900078285,0.42986633582356804,0.2588975088008125,0.48999920208291897,0.8742682588493362,1.0000000000000013,14.0,14.0,14.0,14.0
8.0,0.3180478513461799,0.1621778823532997,0.3759483961500082,0.4661988529092026,0.3172018479284263,0.5512848142373099,0.4229325387720718,0.26683945355555705,0.5004183856923681,0.8431207887295078,0.9999999999999998,14.0,14.0,14.0,14.0
8.0,0.3382742295014659,0.1699202098086772,0.386469657175486,0.4813818365016699,0.3155661112853611,0.5505959767796503,0.4275018015187555,0.2545993748958392,0.48913847746595107,0.8723498997804632,0.9999999999999973,14.0,14.0,14.0,14.0
8.0,0.3227745687390853,0.16559644136748983,0.381571804818315,0.4630677623470877,0.31124144684921506,0.5472799801858668,0.41645456275842524,0.2561512976434873,0.4915533934831171,0.8461396416916405,1.0000000000000004,14.0,14.0,14.0,14.0
8.0,0.3310897284778578,0.1715161214603566,0.38774229127176296,0.47010174591602705,0.3202612963720726,0.5534050602994136,0.4270794162334658,0.2664513513650873,0.5004104113773322,0.8475599090296132,1.0000000000000013,14.0,14.0,14.0,14.0
