N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,labels
12.0,0.29696582232573493,0.1148323016897847,0.29696582197345733,0.43860480232794846,0.2102000945666047,0.4386048106840007,0.4438377830620063,0.21399230933717556,0.4438377783267018,0.9999999999781188,1.0000000000000029,21.0,21.0,21.0,21.0,GHZ
12.0,0.30090066151089984,0.11680934613623278,0.3007825401184212,0.42418925844499217,0.2014958532261355,0.4239920699696613,0.5088767529803063,0.2725261578050786,0.5088705992890374,0.999981639803484,1.0000000000000002,21.0,21.0,21.0,21.0,GHZ + noise
12.0,0.29068252135544426,0.10792131784602296,0.2905608108577299,0.3961865525451256,0.17529611234459747,0.39598860454099943,0.3819766566374503,0.16283467748825667,0.3819537976171079,0.9999776613786286,1.0000000000000007,21.0,21.0,21.0,21.0,GHZ + noise
12.0,0.25908783891101794,0.28637313597247355,0.5175088424472876,0.32627976326709984,0.43217279453154284,0.6496683144418376,0.3005856088273168,0.37393488623513155,0.6008511667014989,0.5000187043816781,1.0000000000000016,21.0,21.0,21.0,21.0,GHZ + noise
12.0,0.30121251413489697,0.11513177174777106,0.3010284629418145,0.4253729252971037,0.20118753058868977,0.4252115643804694,0.49815671567389386,0.2616308695075218,0.49797514879788163,1.0000064212313569,1.0000000000000016,21.0,21.0,21.0,21.0,GHZ + noise
12.0,0.21102349179468724,0.19877453015123409,0.42084250825122477,0.26662306764653143,0.2998839344043366,0.533299213977235,0.2585304687934251,0.2828077307877504,0.5153362812367174,0.49998824539594383,1.0,21.0,21.0,21.0,21.0,GHZ + noise
12.0,0.34637168224461384,0.1513263918227907,0.3463716948142592,0.46214952671931886,0.23903637097933467,0.4621495484097763,0.37569163217090107,0.17313495120906133,0.37569164280044465,0.9999999999899207,1.0000000000000016,21.0,21.0,21.0,21.0,W
12.0,0.34558788290381964,0.1509584168062711,0.3455850413967002,0.4514579075582783,0.23058510347814576,0.45145416921048237,0.4684233889602208,0.23910923230495307,0.4684194579810676,1.0000042144369836,0.9999999999999991,21.0,21.0,21.0,21.0,W + noise
12.0,0.34058114215129914,0.14883544110564362,0.34045841751465167,0.4476509169474293,0.22648753403635175,0.4473223378604397,0.44653201514520696,0.22111080868622093,0.44629452262319835,0.9999737847441161,1.0000000000000004,21.0,21.0,21.0,21.0,W + noise
12.0,0.35035634849086156,0.15656256917292977,0.35019318438221336,0.4620967385143133,0.2407720462363525,0.4617266051862836,0.3786980637545248,0.17590325692709669,0.3784981966579013,1.0000181187031876,0.9999999999999993,21.0,21.0,21.0,21.0,W + noise
12.0,0.3547048781074402,0.15715724917370183,0.3544810907583117,0.4773232695399841,0.2521991569290101,0.47712787359313197,0.42325810232182376,0.20560977233541475,0.4229368324729978,1.0000202428264338,0.9999999999999984,21.0,21.0,21.0,21.0,W + noise
12.0,0.33949966607443616,0.1473792684324527,0.33934117172965206,0.4455211000943682,0.2249441909442856,0.4453482108867647,0.4462779214620742,0.21865228853706356,0.4461114722145072,0.9999937729849476,0.9999999999999988,21.0,21.0,21.0,21.0,W + noise
