N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho
12.0,0.626900111720587,0.418547817454187,0.6381671169984606,0.83026076835372,0.7153984382948201,0.8445973760675292,0.8299558210636565,0.7144299065848816,0.8441829659201046,0.983372287051231,0.9999999999999984,12.0,12.0,12.0,12.0
12.0,0.6306237131089303,0.4272000269545254,0.644853324763635,0.8300172424525001,0.7213732889978427,0.8480922781719087,0.8304735663046546,0.7220099374731317,0.8486034952235064,0.9786602262313242,0.9999999999999978,12.0,12.0,12.0,12.0
12.0,0.6289507076187291,0.42301190423039997,0.6421537064207281,0.8287945719783427,0.7154265445325896,0.8446771419082524,0.8289143093426228,0.715469672096062,0.8448550645089349,0.9812724355332464,1.0000000000000004,12.0,12.0,12.0,12.0
12.0,0.6281366230490648,0.42735060502139116,0.6448105464471028,0.8242478359231986,0.7177364862936322,0.8459417316067563,0.8252088300646396,0.7188504041646456,0.8467971422054072,0.9744605465031891,0.9999999999999998,12.0,12.0,12.0,12.0
12.0,0.61907784557138,0.4139532498685445,0.634575759738216,0.824189615611491,0.7162664938522292,0.8450550929525815,0.8235251713891683,0.7145820886599473,0.8441790681745907,0.9754382385020546,0.9999999999999981,12.0,12.0,12.0,12.0
12.0,0.6240516495224426,0.41752066744134864,0.6377360635861701,0.8305623006786627,0.7228912889793568,0.8489269494757443,0.831841374639962,0.7253694711878558,0.8505556638912071,0.9780504458253388,0.9999999999999994,12.0,12.0,12.0,12.0
12.0,0.6323292780381748,0.4201474965716787,0.6394922544638053,0.8408505870973656,0.7256659294784942,0.8506584153340642,0.8397852880486427,0.7235751926923827,0.8495477954991413,0.9884852439450855,1.000000000000001,12.0,12.0,12.0,12.0
12.0,0.6239149420392989,0.4193669292770609,0.639113287534521,0.8262741611065536,0.7187556978362077,0.8465407911651086,0.8277360920783225,0.7211849494267487,0.8480970851789484,0.9759283063010342,0.9999999999999984,12.0,12.0,12.0,12.0
12.0,0.6369669559576213,0.4262811898682782,0.6439967294332873,0.838130089812126,0.7209589468142068,0.8479160656842505,0.8374414465012651,0.7194161962721701,0.8471444634737748,0.988561943894785,1.0000000000000027,12.0,12.0,12.0,12.0
12.0,0.6293061079608404,0.4241620586531659,0.6427798361149482,0.8322799358622068,0.7250204496480106,0.8502181516387521,0.833615054142793,0.7268298099329552,0.8514496114712542,0.9787477208072444,1.000000000000001,12.0,12.0,12.0,12.0
12.0,0.6444918420187711,0.4395705202216428,0.6538022877787948,0.8375954952579571,0.7238738988258858,0.8496031886736282,0.8367767218587823,0.7224463288277574,0.8488724723317058,0.9857135481429612,0.9999999999999996,12.0,12.0,12.0,12.0
12.0,0.6191382895764979,0.42939722220445753,0.6466374284797105,0.8140934600361489,0.7250344810712512,0.8503003028777845,0.8142127617365855,0.7249907313393856,0.8503948060837322,0.9575258960498144,1.0000000000000002,12.0,12.0,12.0,12.0
12.0,0.6516188510209756,0.4478181051476496,0.6606068590809494,0.8413900992584288,0.7307350562241894,0.8536329994394267,0.8409364271386047,0.7296795492292734,0.8531467015777452,0.9853947485222568,0.9999999999999996,12.0,12.0,12.0,12.0
12.0,0.630730979529552,0.4165030218969945,0.6373130409956307,0.8359084760031297,0.7154594479896551,0.8446986323740349,0.83573412750056,0.7150706579397377,0.8446022120087726,0.9895250935470703,1.0000000000000016,12.0,12.0,12.0,12.0
12.0,0.621105670522516,0.41704382362735626,0.6376272129857348,0.8192131233818463,0.7108036649771545,0.8419389123327977,0.8197009033304312,0.7115722880666531,0.8425366257982867,0.9728331402945718,0.9999999999999997,12.0,12.0,12.0,12.0
12.0,0.6351205017508099,0.4219425909119136,0.6409875980827492,0.8401622544057237,0.7203107395997022,0.8475056920705701,0.8398839639663719,0.7196029572550859,0.8472235781459697,0.9913677935851013,1.0,12.0,12.0,12.0,12.0
12.0,0.626057595421666,0.4226782792717404,0.6412230447435959,0.8297327833921391,0.7237336633348899,0.8494524733719918,0.8300746933436725,0.7243013908794889,0.8499059335513389,0.9766502976192843,0.9999999999999993,12.0,12.0,12.0,12.0
