,State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,GHZ,-0.8184992510918254,0.9999999219173517,-0.33621577817754345,-0.554035520448134,-0.4999999804490818,-0.9999996385997902,-0.5000002104168071,0.4999997865779787,0.999999672898347,0.4621474589657624,-0.07227456201197602,-0.18150027913289546,-0.49999988732120726,0.49999979415041534,-0.5000003536603412,-0.673859849179822,-0.8835427474355995,0.500000205952302,0.5000000941706143
1,GHZ,0.1945579244596715,-0.1985386343849569,-0.9999792044372731,9.488422019796286e-06,-0.005177614684494702,-0.5000098088339189,0.5000123931850902,0.2143121637475459,0.49999666512571816,-0.5000159096884389,0.999994204308123,-0.23146378250240018,-0.22116014482031598,8.74360817304659e-06,8.213272372802734e-06,-1.0360110020091184e-05,0.005172674103486319,5.405063298929252e-06,-0.500006777637048
2,GHZ,0.9835689465350894,-0.499998499136741,0.3599741600312566,-0.3939121000950083,0.9999849615077562,-0.4777009902161149,0.02227474500063753,-0.4999926733634428,-0.4653229226882001,0.5000101226874745,0.9999878164774213,0.0011444850314703094,0.538334477040483,-0.9999930189189543,0.5000155852071435,0.8590731246930978,-0.3939053781274011,1.0931086882958181e-06,-0.9999937175586158
3,GHZ,-0.5340794462181713,0.3150207286743854,-5.036797774095721e-06,0.9999958342675114,-0.39372565154069905,-0.49998040425326296,-0.5000020101676872,-0.18412752660830223,-0.4999951732058372,-0.4999940021842415,-1.5035161442522593e-06,-0.01868290004796136,-0.028542055999503102,2.1550178312956803e-06,0.9999990546989339,-4.667983524996885e-06,-0.606266965467084,-3.3362012511427262e-06,-0.49999708716575486
4,GHZ,0.9999981852220519,0.9999891276429232,5.70118937348596e-06,8.25350599879011e-06,0.2722601782016505,-0.6617160797972956,-0.999996317454813,-0.9999961536937605,0.9584524426030089,-0.0056768416020931784,0.9999579787381454,-0.6617186418406635,-0.5000827215231878,-0.5000770717914194,0.50567148880882,-0.5415455752728386,-0.27232127424914276,3.1828166551228776e-06,-0.49998817546665153
5,GHZ,0.9999977863149042,-2.3604386510841692e-06,-0.49999625309325646,0.45097969892431733,-0.49999361029652944,-0.500008880300167,0.5000033572666787,0.9412512718262661,1.5453226144222628e-06,-0.4999896511241462,0.5042265551133045,0.4999965523655854,-0.2523990392750035,0.3144025250718016,0.5000130103654816,0.5000082931685643,-0.4467488689534498,-0.37445127018723223,0.5000071903226299
6,W,0.4991934850040719,-0.5000005236485017,-0.5000002793361611,0.5000000829484911,-0.44899971403924366,-0.25000020382251686,0.9991938409098178,-0.5000003362368419,-0.0008068427940965961,0.5000004457754005,0.5008070671639404,0.7500014828260615,0.1959132585908452,-0.1959116172538064,-0.1666666178791114,0.16666498824737921,0.4606876199978248,0.7971332352854368,0.5305164518967794
7,W,-0.6132528853701015,0.49999863192884064,0.5000052870005478,0.5000156582074883,0.09451940441816414,0.24999290013879802,-0.8933094299985096,-0.49999481137176216,-0.10116182470135562,0.5000076007791462,0.4035967852996749,0.2306487056005435,-0.1958893168538499,-0.1707556419550353,0.16666800779751698,0.13812883680411725,-0.08714967958540916,-0.06876582523725808,-0.30549834100795276
8,W,0.009209665107413362,0.4999951767810063,-0.5000012863489165,-0.4999985581177714,-0.17120999983555074,0.250002888777298,-0.2499438252456809,0.500007037447366,-0.19587990620499937,0.49999529760093425,-0.333370115271671,-0.0065093920934790085,0.19591406961307478,-0.0037561990956593515,-0.1666785205803248,0.0026515255017612537,-0.3006510447742767,-0.11677040082171247,0.3276891991890231
9,W,0.37236351358294084,-0.5000071983429387,0.4999962181449697,-0.5000042075204287,-0.7208816887951613,-0.2500097484820604,-0.11844951949840289,-0.49999953911518485,0.11102490072656535,0.5000014890452054,-0.3951778943167346,0.2256384994322821,0.8040900660407244,0.16488866068274066,0.16666252654377908,-0.1320304893107209,0.08920102438875822,0.16649129682572245,-0.625374981282058
10,W,-0.03267788923453675,0.4999935171867095,0.5000183475784358,-0.5000005134743598,0.37074444526026634,0.24999821883135562,-0.24915596569879264,-0.5000047037838435,-0.19550890734841703,-0.5000046110939769,0.3335811567576078,-0.02309091228184556,-0.1959046592706603,-0.013346701318369307,-0.16667248795388442,-0.009448113248876035,0.878167675934049,-0.19203088672295904,-0.42384356059116535
11,W,0.023520301656028256,-0.49998493809826805,0.49999754730138984,0.4999949373965028,0.17586143766412624,-0.25001014725743065,-0.2495696739569954,-0.4999970501804002,0.19569833491201688,-0.49999824624972034,-0.33348092144641966,0.016611490756915464,-0.19592030056984658,-0.009613148394373132,0.16668024415475205,0.006801265357823388,0.2792265159896647,0.11935539832169909,0.329367009128245
