N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,labels
7.0,0.6883014592167118,0.4865140771889783,0.6883014594610577,0.9176791634941455,0.8429855784009799,0.9176791639121642,0.9134001000319091,0.8353450304727783,0.9134001003921539,0.9999999999999458,1.0000000000000002,7.0,7.0,7.0,7.0,GHZ
7.0,0.677730561147837,0.47411720973592464,0.6777285644919195,0.8991553700045839,0.810069277694999,0.8991527067346607,0.9037614869441727,0.8180218568741879,0.9037588416916642,1.000001463785207,1.0000000000000002,7.0,7.0,7.0,7.0,GHZ + noise
7.0,0.6821715954442362,0.4794199071038492,0.6821446095842779,0.9084702636849817,0.8266228704773085,0.9084438764361402,0.9046454817169148,0.8195713320558001,0.904589256740697,1.0000150949201712,0.9999999999999991,7.0,7.0,7.0,7.0,GHZ + noise
7.0,0.6746711742167125,0.47006374274451845,0.6743429233169373,0.896966050563558,0.8062887112575998,0.8969683293453199,0.8947470988065367,0.8022336017460632,0.8947731133508376,0.999966786462287,0.9999999999999993,7.0,7.0,7.0,7.0,GHZ + noise
7.0,0.38453810154851825,0.6007871984283503,0.7671611860992736,0.4652600182520124,0.8661972380713228,0.9302366843921263,0.4624326115020452,0.8560835188234867,0.9247656057763496,0.5000168103160181,1.000000000000002,7.0,7.0,7.0,7.0,GHZ + noise
7.0,0.3565659013543741,0.5172354194389528,0.7103217299249871,0.46117308112484856,0.8519697883741137,0.9224532807686435,0.4598412415411549,0.845190724555844,0.9188057396302695,0.5000606058175964,0.9999999999999961,7.0,7.0,7.0,7.0,GHZ + noise
7.0,0.7098489347847501,0.515854955321159,0.709848933242371,0.9094068095247576,0.8283654834682829,0.9094068088072068,0.9146007062133417,0.8376195693659598,0.9146007075621732,0.9999999999989941,0.999999999999999,7.0,7.0,7.0,7.0,W
7.0,0.7110967262123151,0.5171356076397485,0.7108444017468978,0.9136645719638626,0.8353438393351122,0.9132391385280361,0.9136773496006373,0.8349579394991282,0.9132058161775438,1.0000168880631495,0.9999999999999987,7.0,7.0,7.0,7.0,W + noise
7.0,0.7104096479029308,0.5165027800371329,0.710408830319372,0.9135903646032575,0.8359804786145766,0.913589304518276,0.9131280407514138,0.8350416066831424,0.9131270072602538,1.0000005589697014,0.9999999999999996,7.0,7.0,7.0,7.0,W + noise
7.0,0.7102593836292819,0.5162909129443768,0.7102568344720877,0.9113058972343757,0.8318653429816174,0.9113027325101245,0.9129089473222793,0.834628646986634,0.9129057350726206,1.0000017529865004,0.9999999999999994,7.0,7.0,7.0,7.0,W + noise
7.0,0.7115596944249548,0.5175351054930137,0.711131964811299,0.9137112910018772,0.8355102530256016,0.9133213316812343,0.9155522576199626,0.8382519944637743,0.9149092460940257,1.000017569721395,0.9999999999999997,7.0,7.0,7.0,7.0,W + noise
7.0,0.7124735598185099,0.51884395075366,0.7120825912258913,0.9147619856148254,0.8374885204988087,0.9144153365950882,0.9146488412707622,0.836958823258193,0.9142811178292884,1.0000182691039177,0.9999999999999994,7.0,7.0,7.0,7.0,W + noise
