Label,Fidelity,Actions,Verbose Sequence
GHZ,0.9999999999988922,"[10.0, 2.0, 10.0, 4.0, 2.0, 10.0, 19.0, 2.0, 10.0, 4.0]","2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 2-0, 0-3"
GHZ + noise,0.5000010402714999,"[10.0, 2.0, 10.0, 4.0, 2.0, 10.0, 19.0, 2.0, 10.0, 4.0]","2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 2-0, 0-3"
GHZ + noise,1.0000080619587854,"[10.0, 2.0, 10.0, 4.0, 2.0, 10.0, 19.0, 2.0, 10.0, 4.0]","2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 2-0, 0-3"
GHZ + noise,0.5000238828632336,"[10.0, 2.0, 10.0, 4.0, 2.0, 10.0, 19.0, 2.0, 10.0, 4.0]","2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 2-0, 0-3"
GHZ + noise,0.4999898740535402,"[10.0, 2.0, 10.0, 4.0, 2.0, 10.0, 19.0, 2.0, 10.0, 4.0]","2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 2-0, 0-3"
GHZ + noise,1.0000107358778112,"[10.0, 2.0, 10.0, 4.0, 2.0, 10.0, 19.0, 2.0, 10.0, 4.0]","2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 2-0, 0-3"
W,0.9999999999902648,"[10.0, 2.0, 10.0, 4.0, 10.0, 6.0, 19.0, 2.0, 4.0, 10.0]","2-0, 0-1, 2-0, 0-3, 2-0, 1-0, 4-1, 0-1, 0-3, 2-0"
W + noise,1.0000097815563869,"[10.0, 2.0, 10.0, 4.0, 2.0, 10.0, 19.0, 2.0, 4.0, 10.0]","2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
W + noise,1.0000197555022488,"[10.0, 2.0, 10.0, 4.0, 2.0, 10.0, 19.0, 2.0, 4.0, 10.0]","2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
W + noise,0.9999988194945632,"[10.0, 2.0, 10.0, 4.0, 2.0, 10.0, 19.0, 2.0, 4.0, 10.0]","2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
W + noise,0.999999289355639,"[10.0, 2.0, 10.0, 4.0, 2.0, 10.0, 19.0, 2.0, 4.0, 10.0]","2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
W + noise,0.9999936887385565,"[10.0, 2.0, 10.0, 4.0, 2.0, 10.0, 19.0, 2.0, 4.0, 10.0]","2-0, 0-1, 2-0, 0-3, 0-1, 2-0, 4-1, 0-1, 0-3, 2-0"
