Label,Fidelity,Actions,Verbose Sequence
GHZ,0.4999999999999999,"[7.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1-3, 0-2, 0-1"
GHZ + noise,0.9999778509006931,"[7.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","1-3, 0-2, 0-1"
W,0.9999999999981986,"[3.0, 10.0, 3.0, 7.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]","0-2, 2-3, 0-2, 1-3, 1-2, 1-2, 1-2, 1-2, 1-2, 1-2"
W + noise,0.8535518540063998,"[3.0, 10.0, 3.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","0-2, 2-3, 0-2, 1-3"
