N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,sequence
4.0,0.6552408621088728,0.5943053808409186,0.7648047334124226,0.8107936626494966,0.8922021259913185,0.9450234002214514,0.8132165349558478,0.898993240552134,0.9486288488941557,0.8579817462249818,0.9999999999999987,4.0,4.0,4.0,4.0,"0-2, 1-3, 1-3, 1-0"
4.0,0.7292110011226002,0.5559819843631686,0.7392655671857662,0.9004172984124196,0.8367311500381263,0.9151044450818071,0.8822547580924236,0.8049348269469114,0.8971019840035104,0.9847601129773023,1.0000000000000009,5.0,5.0,7.0,5.0,"0-2, 0-1, 1-2, 2-3"
5.0,0.6481053349176464,0.5197580128862955,0.7137879463184968,0.8134865091765365,0.8039888073779257,0.8962294839515373,0.8125150803075236,0.8013342727988884,0.8948799294022518,0.908887336802408,1.000000000000002,8.0,8.0,8.0,8.0,"1-3, 0-2, 2-3, 0-2, 1-2"
4.0,0.6834856588729029,0.5645110227324539,0.7438766986902035,0.8381881421410667,0.8356136807998213,0.9138348782001611,0.842523357905934,0.8443833896262131,0.9187386223952377,0.9170240697333174,0.9999999999999996,7.0,7.0,5.0,7.0,"0-2, 2-3, 0-3, 0-1"
3.0,0.7078036423274917,0.55024702799984,0.7355793634067226,0.8871833770310517,0.8494710973452438,0.9216559456145886,0.8827374126155414,0.8411205786151043,0.9168622915614245,0.9635451140067424,1.0000000000000007,6.0,6.0,6.0,4.0,"2-3, 3-0, 1-3"
5.0,0.7100155733566873,0.5459264122220824,0.7332341980791093,0.8977355027041234,0.8580458540082865,0.926681073277376,0.9041103594705818,0.8702948026206774,0.9333823723677519,0.9695852452236321,0.9999999999999996,5.0,5.0,5.0,5.0,"0-2, 0-1, 1-3, 0-1, 0-2"
4.0,0.7013905444365455,0.5304324383140726,0.7215896883274259,0.8863607096975601,0.8270845816214374,0.9095401985871513,0.8771602784950572,0.8104095475245346,0.9000809301799656,0.9762924988360047,0.9999999999999994,7.0,7.0,7.0,7.0,"2-3, 0-2, 1-0, 0-3"
3.0,0.712542923497919,0.5722560066631165,0.7505156601820414,0.8821360358142701,0.8632280188298387,0.929548738988108,0.8754823004798952,0.8493870092406561,0.9220020285659698,0.9501886603551534,0.9999999999999996,6.0,4.0,6.0,4.0,"0-2, 3-0, 0-1"
4.0,0.6553733347790471,0.5307584794425809,0.7213800685457842,0.8219094824740298,0.8242409435968254,0.9077724962967891,0.8354287347803461,0.8508855688875319,0.9227547221219539,0.9064112754002212,1.0000000000000016,7.0,7.0,7.0,7.0,"2-3, 0-2, 1-2, 1-3"
3.0,0.7363555392066781,0.595353640096106,0.7652110248537426,0.9223764064999469,0.9182794045838845,0.9588911306512594,0.9164828189781083,0.9062227000703843,0.9526127109001005,0.9629133892084965,1.0,3.0,3.0,3.0,3.0,"0-3, 1-2, 0-1"
