,0,1,2,3,4,5,6,7,8,9,10
0,0.0,0.0,0.0,0.0,0.002,0.004,0.982,0.011,0.001,0.0,0.0
1,0.0,0.0,0.22,0.566,0.182,0.019,0.013,0.0,0.0,0.0,0.0
2,0.002,0.066,0.915,0.002,0.009,0.002,0.004,0.0,0.0,0.0,0.0
3,0.056,0.923,0.01,0.004,0.002,0.004,0.001,0.0,0.0,0.0,0.0
4,0.974,0.009,0.016,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
