sequences,seq_str,occur,freq
"[2, 6, 10, 7, 2, 3, 0, 0, 0, 0]","0-1, 1-2, 2-3, 1-3, 0-1, 0-2",269,0.269
"[2, 7, 10, 7, 2, 3, 0, 0, 0, 0]","0-1, 1-3, 2-3, 1-3, 0-1, 0-2",217,0.217
"[7, 6, 10, 7, 2, 3, 0, 0, 0, 0]","1-3, 1-2, 2-3, 1-3, 0-1, 0-2",109,0.109
"[2, 2, 10, 7, 2, 3, 0, 0, 0, 0]","0-1, 0-1, 2-3, 1-3, 0-1, 0-2",70,0.07
"[2, 7, 10, 7, 6, 3, 0, 0, 0, 0]","0-1, 1-3, 2-3, 1-3, 1-2, 0-2",41,0.041
"[2, 10, 10, 7, 2, 3, 0, 0, 0, 0]","0-1, 2-3, 2-3, 1-3, 0-1, 0-2",38,0.038
"[7, 7, 10, 7, 2, 3, 0, 0, 0, 0]","1-3, 1-3, 2-3, 1-3, 0-1, 0-2",33,0.033
"[7, 2, 10, 7, 2, 3, 0, 0, 0, 0]","1-3, 0-1, 2-3, 1-3, 0-1, 0-2",32,0.032
"[2, 6, 10, 7, 6, 3, 0, 0, 0, 0]","0-1, 1-2, 2-3, 1-3, 1-2, 0-2",22,0.022
"[2, 2, 10, 7, 6, 3, 0, 0, 0, 0]","0-1, 0-1, 2-3, 1-3, 1-2, 0-2",20,0.02
"[7, 10, 10, 7, 2, 3, 0, 0, 0, 0]","1-3, 2-3, 2-3, 1-3, 0-1, 0-2",17,0.017
"[10, 2, 10, 7, 2, 3, 0, 0, 0, 0]","2-3, 0-1, 2-3, 1-3, 0-1, 0-2",10,0.01
"[7, 2, 10, 7, 6, 3, 0, 0, 0, 0]","1-3, 0-1, 2-3, 1-3, 1-2, 0-2",10,0.01
"[2, 10, 10, 7, 6, 3, 0, 0, 0, 0]","0-1, 2-3, 2-3, 1-3, 1-2, 0-2",8,0.008
"[7, 7, 10, 7, 6, 3, 0, 0, 0, 0]","1-3, 1-3, 2-3, 1-3, 1-2, 0-2",8,0.008
"[2, 6, 2, 7, 2, 3, 0, 0, 0, 0]","0-1, 1-2, 0-1, 1-3, 0-1, 0-2",7,0.007
"[7, 6, 2, 7, 2, 3, 0, 0, 0, 0]","1-3, 1-2, 0-1, 1-3, 0-1, 0-2",5,0.005
"[4, 2, 10, 7, 2, 3, 0, 0, 0, 0]","0-3, 0-1, 2-3, 1-3, 0-1, 0-2",4,0.004
"[6, 6, 10, 7, 2, 3, 7, 0, 0, 0]","1-2, 1-2, 2-3, 1-3, 0-1, 0-2, 1-3",3,0.003
"[2, 10, 10, 7, 3, 6, 3, 0, 0, 0]","0-1, 2-3, 2-3, 1-3, 0-2, 1-2, 0-2",3,0.003
"[6, 10, 10, 7, 2, 3, 0, 0, 0, 0]","1-2, 2-3, 2-3, 1-3, 0-1, 0-2",3,0.003
"[7, 6, 10, 7, 6, 3, 0, 0, 0, 0]","1-3, 1-2, 2-3, 1-3, 1-2, 0-2",3,0.003
"[2, 6, 7, 10, 7, 2, 0, 0, 0, 0]","0-1, 1-2, 1-3, 2-3, 1-3, 0-1",3,0.003
"[7, 6, 10, 7, 3, 6, 0, 0, 0, 0]","1-3, 1-2, 2-3, 1-3, 0-2, 1-2",3,0.003
"[2, 2, 10, 7, 3, 6, 0, 0, 0, 0]","0-1, 0-1, 2-3, 1-3, 0-2, 1-2",2,0.002
"[3, 6, 10, 7, 2, 3, 0, 0, 0, 0]","0-2, 1-2, 2-3, 1-3, 0-1, 0-2",2,0.002
"[10, 2, 7, 10, 7, 2, 0, 0, 0, 0]","2-3, 0-1, 1-3, 2-3, 1-3, 0-1",2,0.002
"[2, 4, 10, 7, 2, 3, 0, 0, 0, 0]","0-1, 0-3, 2-3, 1-3, 0-1, 0-2",2,0.002
"[2, 2, 7, 10, 7, 2, 0, 0, 0, 0]","0-1, 0-1, 1-3, 2-3, 1-3, 0-1",2,0.002
"[2, 7, 6, 7, 2, 3, 0, 0, 0, 0]","0-1, 1-3, 1-2, 1-3, 0-1, 0-2",2,0.002
