Label,Fidelity,Actions,Verbose Sequence
GHZ,0.9999999999959156,"[10.0, 14.0, 19.0, 6.0, 10.0, 19.0, 14.0, 10.0, 6.0]","2-0, 3-0, 4-1, 1-0, 2-0, 4-1, 3-0, 2-0, 1-0"
GHZ + noise,0.5000089959668567,"[10.0, 14.0, 19.0, 6.0, 10.0, 19.0, 14.0, 10.0, 6.0]","2-0, 3-0, 4-1, 1-0, 2-0, 4-1, 3-0, 2-0, 1-0"
GHZ + noise,1.0000048727772506,"[10.0, 14.0, 19.0, 6.0, 10.0, 19.0, 14.0, 10.0, 6.0]","2-0, 3-0, 4-1, 1-0, 2-0, 4-1, 3-0, 2-0, 1-0"
GHZ + noise,1.0000012569723782,"[10.0, 14.0, 19.0, 6.0, 10.0, 19.0, 14.0, 10.0, 6.0]","2-0, 3-0, 4-1, 1-0, 2-0, 4-1, 3-0, 2-0, 1-0"
GHZ + noise,0.4999875292251883,"[10.0, 14.0, 19.0, 6.0, 10.0, 19.0, 14.0, 10.0, 6.0]","2-0, 3-0, 4-1, 1-0, 2-0, 4-1, 3-0, 2-0, 1-0"
GHZ + noise,1.000002279954224,"[10.0, 14.0, 19.0, 6.0, 10.0, 19.0, 14.0, 10.0, 6.0]","2-0, 3-0, 4-1, 1-0, 2-0, 4-1, 3-0, 2-0, 1-0"
W,0.9999999999966032,"[10.0, 14.0, 19.0, 6.0, 10.0, 19.0, 14.0, 10.0, 2.0]","2-0, 3-0, 4-1, 1-0, 2-0, 4-1, 3-0, 2-0, 0-1"
W + noise,1.0000270755489458,"[10.0, 14.0, 19.0, 6.0, 10.0, 19.0, 14.0, 6.0, 10.0]","2-0, 3-0, 4-1, 1-0, 2-0, 4-1, 3-0, 1-0, 2-0"
W + noise,0.9999814789218717,"[10.0, 14.0, 19.0, 6.0, 10.0, 19.0, 14.0, 6.0, 10.0]","2-0, 3-0, 4-1, 1-0, 2-0, 4-1, 3-0, 1-0, 2-0"
W + noise,1.0000013453930467,"[10.0, 14.0, 19.0, 6.0, 10.0, 19.0, 14.0, 6.0, 10.0]","2-0, 3-0, 4-1, 1-0, 2-0, 4-1, 3-0, 1-0, 2-0"
W + noise,1.0000077401114218,"[10.0, 14.0, 19.0, 6.0, 10.0, 19.0, 14.0, 6.0, 10.0]","2-0, 3-0, 4-1, 1-0, 2-0, 4-1, 3-0, 1-0, 2-0"
W + noise,0.9999988160506778,"[10.0, 14.0, 19.0, 6.0, 10.0, 19.0, 14.0, 6.0, 10.0]","2-0, 3-0, 4-1, 1-0, 2-0, 4-1, 3-0, 1-0, 2-0"
