Label,Fidelity,Actions,Verbose Sequence
GHZ,0.9999999999993852,"[19.0, 6.0, 19.0, 10.0, 2.0, 14.0]","4-1, 1-0, 4-1, 2-0, 0-1, 3-0"
GHZ + noise,0.5000192007016987,"[19.0, 6.0, 19.0, 10.0, 2.0, 14.0]","4-1, 1-0, 4-1, 2-0, 0-1, 3-0"
GHZ + noise,0.5000135360236271,"[19.0, 6.0, 19.0, 10.0, 2.0, 14.0]","4-1, 1-0, 4-1, 2-0, 0-1, 3-0"
GHZ + noise,0.49997207017242234,"[19.0, 6.0, 19.0, 10.0, 2.0, 14.0]","4-1, 1-0, 4-1, 2-0, 0-1, 3-0"
GHZ + noise,0.49998496806077775,"[19.0, 6.0, 19.0, 10.0, 2.0, 14.0]","4-1, 1-0, 4-1, 2-0, 0-1, 3-0"
GHZ + noise,0.5000010906674637,"[19.0, 6.0, 19.0, 10.0, 2.0, 14.0]","4-1, 1-0, 4-1, 2-0, 0-1, 3-0"
W,0.8792808019590762,"[10.0, 2.0, 10.0, 19.0, 2.0, 14.0]","2-0, 0-1, 2-0, 4-1, 0-1, 3-0"
W + noise,0.7888031474822804,"[10.0, 2.0, 10.0, 19.0, 14.0, 6.0]","2-0, 0-1, 2-0, 4-1, 3-0, 1-0"
W + noise,0.958284241655121,"[10.0, 2.0, 10.0, 19.0, 2.0, 4.0]","2-0, 0-1, 2-0, 4-1, 0-1, 0-3"
W + noise,0.9582319982256797,"[10.0, 2.0, 10.0, 19.0, 2.0, 4.0]","2-0, 0-1, 2-0, 4-1, 0-1, 0-3"
W + noise,0.8792633711741216,"[10.0, 2.0, 10.0, 19.0, 14.0, 6.0]","2-0, 0-1, 2-0, 4-1, 3-0, 1-0"
W + noise,0.7887802070488037,"[10.0, 2.0, 10.0, 19.0, 2.0, 4.0]","2-0, 0-1, 2-0, 4-1, 0-1, 0-3"
