sequences,seq_str,occur,freq
"[4, 4, 9, 2, 3, 2, 3, 2, 9, 2, 4, 0, 0, 0, 0]","0-3, 0-3, 1-4, 0-1, 0-2, 0-1, 0-2, 0-1, 1-4, 0-1, 0-3",552,0.552
"[4, 2, 9, 2, 3, 2, 3, 2, 9, 2, 4, 0, 0, 0, 0]","0-3, 0-1, 1-4, 0-1, 0-2, 0-1, 0-2, 0-1, 1-4, 0-1, 0-3",349,0.349
"[4, 2, 9, 4, 3, 2, 3, 2, 9, 2, 4, 0, 0, 0, 0]","0-3, 0-1, 1-4, 0-3, 0-2, 0-1, 0-2, 0-1, 1-4, 0-1, 0-3",33,0.033
"[4, 4, 9, 2, 3, 2, 2, 3, 9, 2, 4, 0, 0, 0, 0]","0-3, 0-3, 1-4, 0-1, 0-2, 0-1, 0-1, 0-2, 1-4, 0-1, 0-3",20,0.02
"[4, 2, 4, 9, 3, 2, 3, 2, 9, 2, 4, 0, 0, 0, 0]","0-3, 0-1, 0-3, 1-4, 0-2, 0-1, 0-2, 0-1, 1-4, 0-1, 0-3",11,0.011
"[4, 2, 9, 3, 2, 2, 3, 2, 9, 2, 4, 0, 0, 0, 0]","0-3, 0-1, 1-4, 0-2, 0-1, 0-1, 0-2, 0-1, 1-4, 0-1, 0-3",7,0.007
"[2, 4, 9, 2, 3, 2, 3, 2, 9, 2, 4, 0, 0, 0, 0]","0-1, 0-3, 1-4, 0-1, 0-2, 0-1, 0-2, 0-1, 1-4, 0-1, 0-3",7,0.007
"[3, 4, 9, 2, 3, 2, 3, 2, 9, 2, 4, 0, 0, 0, 0]","0-2, 0-3, 1-4, 0-1, 0-2, 0-1, 0-2, 0-1, 1-4, 0-1, 0-3",4,0.004
"[4, 4, 9, 2, 4, 2, 3, 2, 9, 2, 4, 0, 0, 0, 0]","0-3, 0-3, 1-4, 0-1, 0-3, 0-1, 0-2, 0-1, 1-4, 0-1, 0-3",3,0.003
"[4, 2, 9, 2, 4, 2, 3, 2, 9, 2, 4, 0, 0, 0, 0]","0-3, 0-1, 1-4, 0-1, 0-3, 0-1, 0-2, 0-1, 1-4, 0-1, 0-3",2,0.002
"[4, 9, 2, 2, 3, 2, 3, 2, 9, 2, 4, 0, 0, 0, 0]","0-3, 1-4, 0-1, 0-1, 0-2, 0-1, 0-2, 0-1, 1-4, 0-1, 0-3",2,0.002
"[4, 2, 9, 3, 2, 3, 2, 3, 9, 2, 4, 0, 0, 0, 0]","0-3, 0-1, 1-4, 0-2, 0-1, 0-2, 0-1, 0-2, 1-4, 0-1, 0-3",2,0.002
"[3, 2, 9, 2, 3, 2, 3, 2, 9, 2, 4, 0, 0, 0, 0]","0-2, 0-1, 1-4, 0-1, 0-2, 0-1, 0-2, 0-1, 1-4, 0-1, 0-3",2,0.002
"[4, 4, 9, 4, 3, 2, 3, 2, 9, 2, 4, 0, 0, 0, 0]","0-3, 0-3, 1-4, 0-3, 0-2, 0-1, 0-2, 0-1, 1-4, 0-1, 0-3",2,0.002
"[4, 2, 9, 2, 3, 2, 3, 2, 9, 4, 2, 0, 0, 0, 0]","0-3, 0-1, 1-4, 0-1, 0-2, 0-1, 0-2, 0-1, 1-4, 0-3, 0-1",1,0.001
"[9, 4, 2, 9, 3, 2, 3, 2, 9, 2, 4, 0, 0, 0, 0]","1-4, 0-3, 0-1, 1-4, 0-2, 0-1, 0-2, 0-1, 1-4, 0-1, 0-3",1,0.001
"[9, 4, 9, 2, 3, 2, 3, 2, 9, 2, 4, 0, 0, 0, 0]","1-4, 0-3, 1-4, 0-1, 0-2, 0-1, 0-2, 0-1, 1-4, 0-1, 0-3",1,0.001
"[4, 2, 9, 4, 3, 2, 2, 3, 9, 2, 4, 0, 0, 0, 0]","0-3, 0-1, 1-4, 0-3, 0-2, 0-1, 0-1, 0-2, 1-4, 0-1, 0-3",1,0.001
