Label,Fidelity,Actions,Verbose Sequence
GHZ,0.9999999999976705,"[4.0, 4.0, 19.0, 6.0, 10.0, 6.0, 10.0, 6.0, 19.0, 6.0, 14.0]","0-3, 0-3, 4-1, 1-0, 2-0, 1-0, 2-0, 1-0, 4-1, 1-0, 3-0"
GHZ + noise,1.0000445951114638,"[4.0, 4.0, 19.0, 6.0, 10.0, 6.0, 10.0, 6.0, 19.0, 6.0, 14.0]","0-3, 0-3, 4-1, 1-0, 2-0, 1-0, 2-0, 1-0, 4-1, 1-0, 3-0"
GHZ + noise,0.9999965286016453,"[4.0, 4.0, 19.0, 6.0, 10.0, 6.0, 10.0, 6.0, 19.0, 6.0, 14.0]","0-3, 0-3, 4-1, 1-0, 2-0, 1-0, 2-0, 1-0, 4-1, 1-0, 3-0"
GHZ + noise,0.9999985315628753,"[4.0, 4.0, 19.0, 6.0, 10.0, 6.0, 10.0, 6.0, 19.0, 6.0, 14.0]","0-3, 0-3, 4-1, 1-0, 2-0, 1-0, 2-0, 1-0, 4-1, 1-0, 3-0"
GHZ + noise,0.9999681794645388,"[4.0, 4.0, 19.0, 6.0, 10.0, 6.0, 10.0, 6.0, 19.0, 6.0, 14.0]","0-3, 0-3, 4-1, 1-0, 2-0, 1-0, 2-0, 1-0, 4-1, 1-0, 3-0"
GHZ + noise,0.9999910890728918,"[4.0, 4.0, 19.0, 6.0, 10.0, 6.0, 10.0, 6.0, 19.0, 6.0, 14.0]","0-3, 0-3, 4-1, 1-0, 2-0, 1-0, 2-0, 1-0, 4-1, 1-0, 3-0"
W,0.999999999980386,"[4.0, 4.0, 19.0, 6.0, 10.0, 6.0, 10.0, 6.0, 19.0, 6.0, 14.0]","0-3, 0-3, 4-1, 1-0, 2-0, 1-0, 2-0, 1-0, 4-1, 1-0, 3-0"
W + noise,1.000017757821874,"[4.0, 4.0, 19.0, 6.0, 10.0, 6.0, 10.0, 6.0, 19.0, 6.0, 14.0]","0-3, 0-3, 4-1, 1-0, 2-0, 1-0, 2-0, 1-0, 4-1, 1-0, 3-0"
W + noise,1.0000105110587159,"[4.0, 4.0, 19.0, 6.0, 10.0, 6.0, 10.0, 6.0, 19.0, 6.0, 14.0]","0-3, 0-3, 4-1, 1-0, 2-0, 1-0, 2-0, 1-0, 4-1, 1-0, 3-0"
W + noise,1.0000080892763579,"[4.0, 4.0, 19.0, 6.0, 10.0, 6.0, 10.0, 6.0, 19.0, 6.0, 14.0]","0-3, 0-3, 4-1, 1-0, 2-0, 1-0, 2-0, 1-0, 4-1, 1-0, 3-0"
W + noise,1.0000001111738734,"[4.0, 4.0, 19.0, 6.0, 10.0, 6.0, 10.0, 6.0, 19.0, 6.0, 14.0]","0-3, 0-3, 4-1, 1-0, 2-0, 1-0, 2-0, 1-0, 4-1, 1-0, 3-0"
W + noise,0.9999934820310201,"[4.0, 4.0, 19.0, 6.0, 10.0, 6.0, 10.0, 6.0, 19.0, 6.0, 14.0]","0-3, 0-3, 4-1, 1-0, 2-0, 1-0, 2-0, 1-0, 4-1, 1-0, 3-0"
