Label,Fidelity,Actions,Verbose Sequence
GHZ,0.5000000149152034,"[10.0, 14.0, 2.0, 19.0, 6.0, 10.0, 6.0, 4.0]","2-0, 3-0, 0-1, 4-1, 1-0, 2-0, 1-0, 0-3"
GHZ + noise,1.000027772669673,"[10.0, 14.0, 2.0, 19.0, 6.0, 10.0, 6.0, 4.0]","2-0, 3-0, 0-1, 4-1, 1-0, 2-0, 1-0, 0-3"
GHZ + noise,0.5000193814449272,"[10.0, 14.0, 2.0, 19.0, 6.0, 10.0, 6.0, 4.0]","2-0, 3-0, 0-1, 4-1, 1-0, 2-0, 1-0, 0-3"
GHZ + noise,0.999956317205983,"[10.0, 14.0, 2.0, 19.0, 6.0, 10.0, 6.0, 4.0]","2-0, 3-0, 0-1, 4-1, 1-0, 2-0, 1-0, 0-3"
GHZ + noise,0.5000082662755521,"[10.0, 14.0, 2.0, 19.0, 6.0, 10.0, 6.0, 4.0]","2-0, 3-0, 0-1, 4-1, 1-0, 2-0, 1-0, 0-3"
GHZ + noise,0.49999434932854986,"[10.0, 14.0, 2.0, 19.0, 6.0, 10.0, 6.0, 4.0]","2-0, 3-0, 0-1, 4-1, 1-0, 2-0, 1-0, 0-3"
W,0.9999999999993621,"[10.0, 14.0, 19.0, 6.0, 19.0, 10.0, 6.0, 4.0]","2-0, 3-0, 4-1, 1-0, 4-1, 2-0, 1-0, 0-3"
W + noise,0.9582583233202776,"[10.0, 14.0, 19.0, 6.0, 19.0, 10.0, 6.0, 14.0]","2-0, 3-0, 4-1, 1-0, 4-1, 2-0, 1-0, 3-0"
W + noise,0.9999902415935618,"[10.0, 14.0, 19.0, 6.0, 19.0, 10.0, 6.0, 14.0]","2-0, 3-0, 4-1, 1-0, 4-1, 2-0, 1-0, 3-0"
W + noise,0.9999965694704145,"[10.0, 14.0, 19.0, 6.0, 19.0, 10.0, 6.0, 14.0]","2-0, 3-0, 4-1, 1-0, 4-1, 2-0, 1-0, 3-0"
W + noise,1.0000305352782988,"[10.0, 14.0, 19.0, 6.0, 19.0, 10.0, 6.0, 14.0]","2-0, 3-0, 4-1, 1-0, 4-1, 2-0, 1-0, 3-0"
W + noise,0.9999821898719159,"[10.0, 14.0, 19.0, 6.0, 19.0, 10.0, 6.0, 14.0]","2-0, 3-0, 4-1, 1-0, 4-1, 2-0, 1-0, 3-0"
