N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,labels
9.0,0.6837775492511206,0.48156396261775214,0.6837775444100687,0.8833221953013206,0.7827589957698332,0.883322195595202,0.8839022130720335,0.7836545308891032,0.8839022115549128,0.9999999999976035,1.0000000000000013,9.0,9.0,9.0,9.0,GHZ
9.0,0.6679221930798076,0.45958890771077643,0.6675048466244633,0.8667600995721446,0.7531768397879468,0.8662503664326023,0.8671270235135822,0.753664233225128,0.8666279265795344,1.0000267115220673,1.0000000000000007,9.0,9.0,9.0,9.0,GHZ + noise
9.0,0.6685521410683802,0.4608329175648619,0.6684857791091188,0.8685343679442012,0.7563064451788768,0.8684408084768905,0.8691634791307535,0.7567597062939713,0.8687996855991165,1.0000444195182348,0.9999999999999973,9.0,9.0,9.0,9.0,GHZ + noise
9.0,0.6748295846409513,0.47052212207432165,0.674827657797647,0.8746470210032542,0.7678528548663184,0.8746445642789902,0.875226782482403,0.768718450641813,0.875224299975501,1.000001417892516,0.999999999999999,9.0,9.0,9.0,9.0,GHZ + noise
9.0,0.6696688571592728,0.4631640911194932,0.6692842529414154,0.8668744430229325,0.7535954840217609,0.8665724331446681,0.8675603404441764,0.7544204934731411,0.8672171315388231,1.0000092609499907,1.0000000000000016,9.0,9.0,9.0,9.0,GHZ + noise
9.0,0.6780589431308723,0.4733969644337152,0.6780607358107757,0.8766853919003248,0.7710671255837285,0.8766877054218275,0.877487550871278,0.772247193312444,0.8774898213049562,0.9999987065329627,1.0000000000000004,9.0,9.0,9.0,9.0,GHZ + noise
9.0,0.691293590425566,0.49345440032039783,0.6912935966146893,0.8674536775393474,0.7553912246658568,0.8674536782264941,0.869053122313113,0.7577010781814993,0.8690531229869267,0.9999999999993321,0.9999999999999982,9.0,9.0,9.0,9.0,W
9.0,0.7031780919772828,0.5103288527762327,0.7031754630591212,0.8803858941206556,0.7782437285059363,0.880382617183392,0.8810547811249959,0.7788775783025865,0.8810515136466244,1.0000018563773143,1.0000000000000004,9.0,9.0,9.0,9.0,W + noise
9.0,0.6943382310941535,0.4979448064483365,0.6943437974580544,0.8695145668796587,0.7588467741594531,0.8695215268559401,0.8700724833841279,0.7594140108168681,0.8700794519844989,0.9999959990394962,1.0,9.0,9.0,9.0,9.0,W + noise
9.0,0.7052304878957303,0.5128762623951503,0.7050346231395909,0.8860052225284604,0.7875244123198314,0.8858522854776149,0.8874920695865158,0.7893566974608582,0.8872064915359631,0.9999749271115588,1.0000000000000002,9.0,9.0,9.0,9.0,W + noise
9.0,0.6977963413054363,0.503301750198756,0.6977984690743395,0.8752448606237904,0.7694856561930947,0.8752474247202743,0.8767146707474615,0.7715516546930492,0.8767172935102214,0.9999985071797752,0.9999999999999993,9.0,9.0,9.0,9.0,W + noise
9.0,0.7059786847084005,0.5134465514257558,0.7057150178641565,0.8867296951671796,0.7883837957015513,0.8864112579325238,0.8854913478179326,0.7859096418740146,0.8851026909012392,1.0000057560797924,1.0000000000000016,9.0,9.0,9.0,9.0,W + noise
