N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho
3.0,0.625205789235646,0.5839571224530882,0.7572367226788892,0.7831359213803408,0.9116796517382992,0.9545616221259343,0.7813048055374101,0.9073321164766497,0.9522927352882042,0.8200289910606351,1.0000000000000009,3.0,3.0,3.0,3.0
3.0,0.7171520660516041,0.599433932264495,0.7665811267891164,0.8910611629312547,0.9118084363118307,0.9545844193528785,0.8915291230491827,0.9118397786646557,0.9546290134449348,0.9338200088614123,1.0,3.0,3.0,3.0,3.0
3.0,0.5811663104647746,0.6006066872439361,0.7679039140099442,0.7262750036100059,0.9163771159502647,0.956934066311222,0.7241234615323855,0.9132512772371183,0.9553403583157791,0.7580555354956173,1.0000000000000013,3.0,3.0,3.0,3.0
3.0,0.6773653319624192,0.6321851896216782,0.7897549963117853,0.8249516609165884,0.9213458076156819,0.9596304243416437,0.8227043292788926,0.9190403621266583,0.9583922753400078,0.8584921850446696,1.0000000000000004,3.0,3.0,3.0,3.0
3.0,0.6376422114252943,0.5843392027098324,0.7587504342455241,0.7975400609292955,0.9089918326478199,0.9531275047533171,0.7955992732349386,0.9049843651049936,0.9510603314594357,0.8360588749409867,0.9999999999999997,3.0,3.0,3.0,3.0
3.0,0.5892456757905018,0.568736361105594,0.746715599864956,0.751794818943316,0.9067234420764752,0.9518771255995351,0.7518740965275921,0.9070651935753922,0.9521079337601809,0.7896271872418529,1.0,3.0,3.0,3.0,3.0
3.0,0.4124080533919002,0.6498078130432312,0.7992200270661258,0.4965929159282808,0.926336058147941,0.96219910755812,0.4958369043224198,0.92041653124248,0.9591921416683822,0.5168926795328168,1.0000000000000013,3.0,3.0,3.0,3.0
3.0,0.40835903342783875,0.6298508686622428,0.7876702960828621,0.49197014086622104,0.923968639370327,0.9609157230906201,0.4899717672620163,0.9177102089740903,0.9576653719372645,0.5100925984947878,0.9999999999999989,3.0,3.0,3.0,3.0
3.0,0.6187906144248156,0.5937751559269391,0.7639074350921257,0.7726379507216671,0.910917251837024,0.9540670449282116,0.7724378683906175,0.9108072924107471,0.954046789209068,0.8093699799993557,1.0,3.0,3.0,3.0,3.0
3.0,0.4110651574542426,0.6598994234899169,0.8063362389102952,0.4872101787925467,0.9222281713072208,0.9600915988588918,0.4845494022841317,0.913015303061768,0.9552338614345799,0.5071412397958072,0.9999999999999984,3.0,3.0,3.0,3.0
3.0,0.5434774658150939,0.6044338000949859,0.7701867506438513,0.6768029736437695,0.9195300943556243,0.9585985587880449,0.6784348861369232,0.9240011671556655,0.9609579821764198,0.7060144346975008,1.0000000000000007,3.0,3.0,3.0,3.0
3.0,0.557128002582957,0.5773363240022126,0.7531693336766879,0.7013446993104782,0.9025173477782628,0.9497128596651493,0.7031925193775426,0.9074626156831674,0.9524082310812876,0.7382181061579641,1.0000000000000004,3.0,3.0,3.0,3.0
3.0,0.7079662486541635,0.648589282679116,0.7979158885687564,0.8545711117190288,0.9347996913172301,0.9665531022210591,0.8549090030375002,0.9355809028879888,0.9669880470284085,0.8836551028916849,0.9999999999999988,3.0,3.0,3.0,3.0
3.0,0.6107250508505548,0.5949624802303632,0.7639650766223957,0.7641421989765329,0.9163261367562133,0.956913956664566,0.76196836598198,0.9101982929234117,0.953744287745529,0.798817839454423,1.0000000000000013,3.0,3.0,3.0,3.0
3.0,0.5247908073289438,0.5835677395604365,0.7570729449124474,0.661024672169046,0.9117932792113581,0.9545996581945807,0.6632993562695356,0.9152782982686618,0.9564216821464242,0.6935471246887138,0.9999999999999989,3.0,3.0,3.0,3.0
3.0,0.5583793108237443,0.5815772688910225,0.7561904593801343,0.7030679312267616,0.9090832782791445,0.9531175678378059,0.702810140337313,0.9088493610048869,0.9530306890529796,0.7375338210893485,0.9999999999999978,3.0,3.0,3.0,3.0
3.0,0.6720148466950155,0.6715532115052214,0.8145656980440609,0.7918002837188082,0.9181447606319659,0.9579285792150167,0.7919367646619249,0.9189602145187052,0.9583626663648923,0.8263044088622569,0.9999999999999989,3.0,3.0,3.0,3.0
3.0,0.6720570658053346,0.5850669969670007,0.7580693591318136,0.8427946333991507,0.90845386420214,0.9528663167753011,0.8433586348225481,0.9087478249372724,0.9530758660741558,0.884856874693431,0.9999999999999993,3.0,3.0,3.0,3.0
3.0,0.6270073928742201,0.5760088839086734,0.7512336489479153,0.7930898444783494,0.9114975669554474,0.9543873366470099,0.792230733812521,0.9099407651311222,0.9535948908493117,0.8303411831993062,1.0,3.0,3.0,3.0,3.0
3.0,0.6837536301645738,0.6382284276624678,0.7921053508966536,0.8241506932653817,0.9146699685547707,0.9561397395685773,0.8238850862126466,0.9140481715712541,0.9558408825956536,0.861874156875899,1.0000000000000009,3.0,3.0,3.0,3.0
3.0,0.6585782834315312,0.6064568169799381,0.7712935022277609,0.8144141651101833,0.9137037608843634,0.955588083384679,0.8140491229367777,0.9122580049646432,0.9548530901284352,0.8526133756870339,1.0000000000000007,3.0,3.0,3.0,3.0
