,State,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,GHZ,0.9961151559191432,0.3446099638128142,-0.49999992438202767,-6.283317632860275e-07,0.4999994163765561,-0.5000005693010328,0.6554002632277448,-0.5000002295380808,0.6761206662788558,-1.4265211667118933e-07,-0.4965687131643819,0.1779433229339255,-0.5000001435261994,-0.9999999071622068
1,GHZ,0.9999939602082635,-0.5000579464138724,-0.5315233345666313,-0.5000100337291369,-0.9999962274842313,-0.7123739620068925,0.37690399656855855,-0.5474261555266415,-0.4752113206130475,-0.49999223414735816,1.1934529786650216e-06,0.2883823562210885,-0.8753855297583379,0.448753043874761
2,GHZ,-0.19688007675979935,8.010180634839104e-05,0.5015384816879349,0.5000038631724498,0.06337756598472775,0.3934038522045474,-0.49999524838444875,-0.5004082327261039,0.9816021366119022,-0.500000632602974,-0.7944450195034651,0.08628740592376882,0.9985166102977007,0.018382720263491577
3,GHZ,0.35427618477502415,-0.9649668051556011,0.49999486807399696,6.1808113795592044e-06,-0.4999895404607655,-0.5000227684756258,0.9844729754498769,0.5000020249741923,0.6009205617679508,-2.552896969598706e-06,0.4685904471020662,0.45443338692932095,-0.5000034878814545,0.9999971703567695
4,GHZ,-0.5000125359620242,0.5000056459823113,-0.49999445168049017,-0.3086889909231205,-0.50000346303672,0.9999882661270435,-0.48742986325390514,0.19131263954670552,-0.9999957942212749,-6.27929592567078e-06,-0.9999985095165742,-0.6318924020794232,-0.6444703183711176,-0.4999897629953698
5,GHZ,-0.4999979640601715,-0.5606865925155708,0.5000019565155208,-0.9999990911342356,-0.4558042679937824,0.7022432483431144,3.153571293301738e-05,0.4999944225835204,-0.4415643275431962,1.6466521635116749e-06,0.9250786328238032,-0.45235965156919433,-0.6954667444255711,0.9660804967407792
6,W,-0.396525517821934,1.2537421811842364e-07,1.1027087154502624e-07,0.44685907048066165,0.7499999994545337,-0.24144252486892936,-0.5000000599233909,-0.19178821569358906,0.6469897132002409,-0.8358825702862459,-0.4274888688682241,0.6568487665943679,0.5247083184538721,0.9537269975827636
7,W,0.0001819683593267568,2.2115576219840537e-06,2.2026691157625045e-05,-0.0003949099414623311,-0.25001356642834904,0.00018279118772023141,0.49998969225003737,0.0001982874921468807,0.07513440351064014,-0.0001926655316914324,0.2499882084829853,-0.13004100040650104,0.27522738527023405,-0.12036783263519016
8,W,0.003999482685443869,4.675792354287469e-06,-5.527980633542372e-07,-0.008032858011501465,-0.24998807269674592,0.004010854406436641,-0.49998425870190244,0.004013067854451733,-0.4043616142414629,-0.004015356991718229,-0.2500283116535988,-0.7038643139888959,0.6388366393051922,0.21508108666704545
9,W,-0.00324811933954674,-1.3954504402602926e-05,9.16388515259664e-06,0.006493969977245665,0.7499802549209287,-0.003241821866495726,0.49997136978873236,-0.0032416401468769816,0.14567986460728427,0.0032544684683069943,0.2500214445927818,0.07510253528921147,-0.2587387487288155,0.07309144579819961
10,W,0.007245613122162788,-3.1550289878371986e-06,4.101108699636052e-06,-0.014475112538030419,-0.25001735426961397,0.007235379259583588,-0.5000156458593953,0.007230498394874183,-0.5558497852195444,-0.007239860410079952,-0.2500793740852054,0.14611026825815948,-0.28157912301280436,-0.1326160204944307
11,W,-0.32325046038264005,-7.754600663196786e-06,-0.9999933008673048,0.40426859339456206,-0.24999150776261853,-0.22419538007194253,0.5000007215625618,-0.1829095582517005,0.3803975262721957,-0.158474520578225,0.3784073630533879,-0.07940621200010167,0.4112432118427699,0.976756377188466
