N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho,labels
9.0,0.6705452003682565,0.4652435532704396,0.6705452019668944,0.8710190252613705,0.7617034463512161,0.8710190269109672,0.8691100043048938,0.7577907317914574,0.869110004988333,0.9999999999994921,1.0000000000000002,9.0,9.0,9.0,9.0,GHZ
9.0,0.6675089064685082,0.4592701807725106,0.6671692958025311,0.8670069091513288,0.7538199439793758,0.8670148510956597,0.86813145874582,0.7554846989738393,0.8681323071308618,0.999979980836853,0.9999999999999993,9.0,9.0,9.0,9.0,GHZ + noise
9.0,0.6848577545949971,0.4828472162955593,0.6848292023616185,0.8885801987267766,0.7913993393893857,0.8885264438583096,0.8894858751691006,0.7928711810790863,0.8894362084550844,1.0000315679927045,0.9999999999999982,9.0,9.0,9.0,9.0,GHZ + noise
9.0,0.6858987396156104,0.48351199377802634,0.685866197387912,0.8854202372960616,0.7859320539921668,0.8851084764323724,0.8864118528117196,0.7872395242396907,0.8859969912788805,1.0000217015134039,1.000000000000001,9.0,9.0,9.0,9.0,GHZ + noise
9.0,0.6726849508881287,0.4672254658451105,0.672403321201674,0.870640750902827,0.7602966498714487,0.8703306864946516,0.8743468568503711,0.766163491113177,0.8740556604713547,1.0000058191511083,0.9999999999999999,9.0,9.0,9.0,9.0,GHZ + noise
9.0,0.6884183534746455,0.48722498977947987,0.6883968604096762,0.8931756599135552,0.7989435566911156,0.8928796748642491,0.8892862575775109,0.7923511861378996,0.8892339013201807,1.0000149184285094,0.9999999999999996,9.0,9.0,9.0,9.0,GHZ + noise
9.0,0.7039306885949451,0.5099808328730864,0.7039306761739573,0.8829093897795646,0.7815189601908848,0.8829093856209768,0.8847925452705085,0.7844790086125273,0.884792542348887,0.9999999999959535,0.9999999999999998,9.0,9.0,9.0,9.0,W
9.0,0.701682047228677,0.5071245982998385,0.7013218792072484,0.8783960366383784,0.7741751034298066,0.8780131139702783,0.8785483867537885,0.7740470442791468,0.8783258412793635,0.999987407342275,1.0000000000000004,9.0,9.0,9.0,9.0,W + noise
9.0,0.7068800974211459,0.5147002894221797,0.7066116131839124,0.8841935585832942,0.7839063663157523,0.8839561063266053,0.8851067488402168,0.7851019723349699,0.8848740133613122,0.9999626750935675,1.000000000000001,9.0,9.0,9.0,9.0,W + noise
9.0,0.7054941295933581,0.5129352807367522,0.705493611771732,0.8835392316776347,0.7832025512422071,0.8835385628540657,0.8832379399844726,0.7824026514276818,0.8832372610984218,1.0000003818353187,1.0000000000000007,9.0,9.0,9.0,9.0,W + noise
9.0,0.706532222201642,0.5129856075985858,0.7061914274860008,0.8861888288528496,0.7871007365669439,0.8859025218963972,0.887618501086038,0.7891784763335767,0.8872424184562522,1.000006515817515,0.9999999999999989,9.0,9.0,9.0,9.0,W + noise
9.0,0.7055287349209768,0.5123123978229607,0.7051130719715548,0.8849433800700196,0.7855013059571951,0.8844564617224354,0.8861862998778245,0.7876782452248284,0.8859981074685617,0.9999767709100544,1.0000000000000002,9.0,9.0,9.0,9.0,W + noise
